time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
78.0,,s,w,19.6,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN23453,
79.0,,s,w,20.4,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN23460,
291.0,,s,uvot-u,20.1,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN23460,
596.0,,s,uvot-uvw2,18.4,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN23460,
621.0,,s,uvot-v,18.0,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN23460,
645.0,,s,uvot-uvm2,19.0,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN23460,
670.0,,s,uvot-uvw1,20.2,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN23460,
1146.0,,s,uvot-b,18.2,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN23460,
15411.0,,s,z,25.4,,mag,AB,n,y,,,,,,,1.0,n,,Gemini/GMOS-N,GCN23458,
15531.0,,s,Ks,23.6,,mag,AB,n,y,,,,,,,1.0,n,,Keck I/MOSFIRE,GCN23462,
