time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
157.0,0.0,s,r,18.4,0.1,mag,AB,y,n,0.06962560438765339,18.330374395612345,0.1,0.1689960254237611,0.015565109156639804,mJy,1.0,n,NEXT(0.6m),CCD,Dainotti2024;30984,
378.0,0.0,s,r,17.6,0.0,mag,AB,y,y,0.06962560438765339,17.53037439561235,,0.3530827420475738,,mJy,1.0,n,NEXT(0.6m),CCD,Dainotti2024;30984,
5721.0,0.0,s,uvot-u,18.8,0.2,mag,Vega,y,n,0.12953691187864663,19.690463088121355,0.2,0.048288199644738065,0.00889501509355954,mJy,1.0,n,Swift,UVOT,Dainotti2024;31005,
5876.5,0.0,s,uvot-b,20.0,0.4,mag,Vega,y,n,0.10436008017909985,19.765639919820902,0.4,0.04505783091911808,0.0165999183675212,mJy,1.0,n,Swift,UVOT,Dainotti2024;31005,
6132.0,0.0,s,uvot-uvw2,20.1,0.5,mag,Vega,y,n,0.2387971830567594,21.59120281694324,0.5,0.00838581200633761,0.0038618091436886945,mJy,1.0,n,Swift,UVOT,Dainotti2024;31005,
6337.0,0.0,s,uvot-v,19.2,0.4,mag,Vega,y,n,0.08149757902535273,19.108502420974645,0.4,0.08253255320269885,0.030406116270603578,mJy,1.0,n,Swift,UVOT,Dainotti2024;31005,
6542.0,0.0,s,uvot-uvm2,19.3,0.3,mag,Vega,y,n,0.25529858506296066,20.734701414937042,0.3,0.018456344285505192,0.005099676386756412,mJy,1.0,n,Swift,UVOT,Dainotti2024;31005,
6747.0,0.0,s,uvot-uvw1,19.2,0.3,mag,Vega,y,n,0.18203427481869594,20.527965725181303,0.3,0.022327492843694324,0.006169314262298614,mJy,1.0,n,Swift,UVOT,Dainotti2024;31005,
6952.0,0.0,s,uvot-u,19.3,0.3,mag,Vega,y,n,0.12953691187864663,20.190463088121355,0.3,0.030467794217573393,0.00841856265381536,mJy,1.0,n,Swift,UVOT,Dainotti2024;31005,
7310.0,0.0,s,uvot-uvw2,19.5,0.5,mag,Vega,y,n,0.2387971830567594,20.99120281694324,0.5,0.014572871054349968,0.006711055130374132,mJy,1.0,n,Swift,UVOT,Dainotti2024;31005,
13132.8,0.0,s,i,19.94,0.11,mag,AB,y,n,0.052996001628373875,19.88700399837163,0.11,0.040292540356120954,0.004082188122446065,mJy,1.0,n,D50,CCD,Dainotti2024;31028,
18369.0,0.0,s,uvot-v,20.4,0.4,mag,Vega,y,n,0.08149757902535273,20.308502420974644,0.4,0.027329096900831313,0.010068411380615034,mJy,1.0,n,Swift,UVOT,Dainotti2024;31005,
21470.4,0.0,s,i,20.27,0.05,mag,AB,y,n,0.052996001628373875,20.217003998371627,0.05,0.029732035971429243,0.0013692108562435145,mJy,1.0,n,2.2m,CAFOS,Dainotti2024;30995,
