time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
1322.0,,s,J,17.0,,magnitude,Vega,n,y,,,,,,,1.0,n,,SYSU 80cm IR telescope,GCN40719,,
4458.0,,s,VT-B,20.7,0.1,magnitude,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN40678,,
4458.0,,s,VT-R,20.3,0.1,magnitude,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN40678,,
14285.0,,s,r,20.96,0.15,magnitude,AB,n,n,,,,,,,1.0,n,,T120cm/OHP,GCN40676,,
21118.0,,s,i,21.02,0.06,magnitude,AB,n,n,,,,,,,1.0,n,,Liverpool Telescope IO:O,GCN40677,,
21118.0,,s,g,21.38,0.11,magnitude,AB,n,n,,,,,,,1.0,n,,Liverpool Telescope IO:O,GCN40677,,
25628.0,,s,r,21.21,0.11,magnitude,AB,n,n,,,,,,,1.0,n,,IO:O/Liverpool Telescope 2m,GCN40684,,
26290.0,,s,i,21.14,0.13,magnitude,AB,n,n,,,,,,,1.0,n,,IO:O/Liverpool Telescope 2m,GCN40684,,
47072.0,,s,r,21.56,0.1,magnitude,AB,n,n,,,,,,,1.0,n,,COLIBRI/DDRAGO,GCN40689,,
47072.0,,s,i,21.49,0.09,magnitude,AB,n,n,,,,,,,1.0,n,,COLIBRI/DDRAGO,GCN40689,,
47072.0,,s,g,21.83,0.14,magnitude,AB,n,n,,,,,,,1.0,n,,COLIBRI/DDRAGO,GCN40689,,
104162.0,,s,r,22.59,0.21,magnitude,AB,n,n,,,,,,,1.0,n,,OHP T120cm/T193cm-MISTRAL,GCN40698,,
106322.0,,s,r,22.38,0.13,magnitude,AB,n,n,,,,,,,1.0,n,,Liverpool Telescope IO:O,GCN40699,,
108002.0,,s,i,22.13,0.08,magnitude,AB,n,n,,,,,,,1.0,n,,Liverpool Telescope IO:O,GCN40699,,
