time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
407.5,0.0,s,R,18.5,0.0,mag,Vega,y,y,4.199529684348056,14.476470315651943,,5.880823194640415,,mJy,1.0,n,TAROT(25cm),ANDOR-IKON-L936-BEX2-DD,Dainotti2024;2905,
433.5,0.0,s,Ks,16.36790693823707,0.0404499082518938,mag,AB,y,n,0.5729009825728645,15.795005955664205,0.0404499082518938,1.74591809718891,0.06504547470842145,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
433.5,0.0,s,H,17.57130270739436,1.4951737889480796,mag,AB,y,n,0.9718811287653548,16.599421578629006,1.4951737889480796,0.8322573081970566,1.146106492003674,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
433.5,0.0,s,J,18.534679910804407,0.9729152109113316,mag,AB,y,n,1.5817050780119255,16.95297483279248,0.9729152109113316,0.6009471997137372,0.538501589054325,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
441.4,0.0,s,H,16.901648626366047,0.1516259905284052,mag,AB,y,n,0.9718811287653548,15.929767497600691,0.1516259905284052,1.5421238357768963,0.21536175462549415,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
441.4,0.0,s,Ks,16.336735336838075,0.0456397867884064,mag,AB,y,n,0.5729009825728645,15.76383435426521,0.0456397867884064,1.7967700806021807,0.07552866251221627,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
441.45,0.0,s,Ks,16.336735336838075,0.0456397867884064,mag,AB,y,n,0.5729009825728645,15.76383435426521,0.0456397867884064,1.7967700806021807,0.07552866251221627,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
455.5,0.0,s,J,17.394850021680092,0.0459885381645079,mag,AB,y,n,1.5817050780119255,15.813144943668167,0.0459885381645079,1.716991999182113,0.07272664551158792,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
455.5,0.0,s,H,16.75666875892183,0.0289224203342577,mag,AB,y,n,0.9718811287653548,15.784787630156474,0.0289224203342577,1.7624272408878818,0.046948477214003206,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
461.4,0.0,s,J,16.954621874040892,0.0870938885301448,mag,AB,y,n,1.5817050780119255,15.372916796028967,0.0870938885301448,2.5754879987731596,0.2065964676252505,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
461.4,0.0,s,H,16.697966019298022,0.1319220137520673,mag,AB,y,n,0.9718811287653548,15.726084890532666,0.1319220137520673,1.860339865381655,0.226039971982946,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
461.4,0.0,s,Ks,15.73795544247616,0.0146264397917725,mag,AB,y,n,0.5729009825728645,15.165054459903295,0.0146264397917725,3.1189216493471767,0.0420163935949753,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
469.7,0.0,s,Ks,16.08223800408798,0.0333306894266627,mag,AB,y,n,0.5729009825728645,15.509337021515115,0.0333306894266627,2.271388592459362,0.06972867572320925,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
469.7,0.0,s,J,16.919020776254364,0.0723463069345342,mag,AB,y,n,1.5817050780119255,15.337315698242438,0.0723463069345342,2.6613375987322776,0.17733400243127512,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
469.7,0.0,s,H,15.931198197908842,0.0221609587005389,mag,AB,y,n,0.9718811287653548,14.959317069143486,0.0221609587005389,3.769636043010199,0.07694203094555727,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
477.6,0.0,s,Ks,16.44432191740108,0.0420197969368025,mag,AB,y,n,0.5729009825728645,15.871420934828215,0.0420197969368025,1.6272634692246142,0.06297780274788527,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
477.6,0.0,s,J,17.01031286081877,0.0563639203120622,mag,AB,y,n,1.5817050780119255,15.428607782806846,0.0563639203120622,2.446713598834506,0.1270164610029455,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
514.3,0.0,s,J,17.949471895720986,0.7395012755167336,mag,AB,y,n,1.5817050780119255,16.36776681770906,0.7395012755167336,1.0301951995092642,0.7016719721877843,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
514.3,0.0,s,H,17.509243748081783,0.8106848465873036,mag,AB,y,n,0.9718811287653548,16.53736261931643,0.8106848465873036,0.881213620443939,0.6579743086483716,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
514.3,0.0,s,Ks,18.094451763165203,0.9612462190071014,mag,AB,y,n,0.5729009825728645,17.52155078059234,0.9612462190071014,0.35596388389288414,0.3151492379047478,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
522.25,0.0,s,Ks,17.394850021680092,0.3234619862181631,mag,AB,y,n,0.5729009825728645,16.821949039107228,0.3234619862181631,0.6780264455102581,0.20199729898667826,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
522.25,0.0,s,H,17.0295299324845,0.2017598603170185,mag,AB,y,n,0.9718811287653548,16.057648803719147,0.2017598603170185,1.3707767429127935,0.2547282875562891,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
