time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
87.0,,s,59128.05508101852,w,19.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN28560,,
88.0,,s,59128.05509259259,w,21.1,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN28565,,
300.0,,s,59128.057546296295,uvot-u,20.2,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN28565,,
555.0,,s,59128.06049768519,uvot-b,19.8,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN28565,,
629.0,,s,59128.06135416667,uvot-v,18.9,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN28565,,
678.0,,s,59128.0619212963,uvot-uvw1,18.7,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN28565,,
1265.0,,s,59128.06871527778,uvot-uvw2,17.3,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN28565,,
54549.0,,s,59128.685428240744,g,19.5,,magnitude,AB,n,y,,,,,,,1.0,n,,MITSuME 50cm/Akeno,GCN28571,,
54549.0,,s,59128.685428240744,Rc,19.4,,magnitude,AB,n,y,,,,,,,1.0,n,,MITSuME 50cm/Akeno,GCN28571,,
54549.0,,s,59128.685428240744,Ic,18.9,,magnitude,AB,n,y,,,,,,,1.0,n,,MITSuME 50cm/Akeno,GCN28571,,
62088.0,,s,59128.772685185184,r,20.09,,magnitude,,n,y,,,,,,,1.0,n,,GROWTH-India Telescope 0.7m,GCN28573,,
124382.0,,s,59129.493680555555,i,23.8,,magnitude,AB,n,y,,,,,,,1.0,n,,LMI/Lowell Discovery Telescope,GCN28572,,
