time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
4170.3,,s,uvot-uvw2,19.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20232,,
4376.3,,s,uvot-v,19.4,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20232,,
5298.3,,s,uvot-u,20.5,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20232,,
5415.3,,s,uvot-uvw1,19.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20232,,
7783.3,,s,uvot-b,20.8,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20232,,
46207.3,,s,Ic,19.8,,magnitude,,n,y,,,,,,,1.0,n,,MITSuME 50cm (OAO),GCN20230,,
46207.3,,s,g,20.6,,magnitude,,n,y,,,,,,,1.0,n,,MITSuME 50cm (OAO),GCN20230,,
46207.3,,s,Rc,20.2,,magnitude,,n,y,,,,,,,1.0,n,,MITSuME 50cm (OAO),GCN20230,,
83179.3,,s,15GHz,0.2,,mJy,,n,y,,,,,,,1.0,n,,AMI Large Array,GCN20318,,
106087.0,,s,Z,23.1,,magnitude,AB,n,y,,,,,,,1.0,n,,RATIR/1.5m Harold Johnson Telescope,GCN20234,,
106087.0,,s,Y,22.8,,magnitude,AB,n,y,,,,,,,1.0,n,,RATIR/1.5m Harold Johnson Telescope,GCN20234,,
106087.0,,s,J,22.4,,magnitude,AB,n,y,,,,,,,1.0,n,,RATIR/1.5m Harold Johnson Telescope,GCN20234,,
106087.0,,s,H,22.0,,magnitude,AB,n,y,,,,,,,1.0,n,,RATIR/1.5m Harold Johnson Telescope,GCN20234,,
106087.0,,s,r,24.0,,magnitude,AB,n,y,,,,,,,1.0,n,,RATIR/1.5m Harold Johnson Telescope,GCN20234,,
106087.0,,s,i,23.9,,magnitude,AB,n,y,,,,,,,1.0,n,,RATIR/1.5m Harold Johnson Telescope,GCN20234,,
242155.0,,s,15GHz,0.121,,mJy,,n,y,,,,,,,1.0,n,,AMI Large Array,GCN20318,,
