time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
20253.0,,s,w,19.6,,mag,Vega,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN38476,
21931.0,,s,H,16.1,,mag,Vega,n,y,,,,,,,1.0,n,,REM,GCN38492,
22669.0,,s,J,18.0,,mag,Vega,n,y,,,,,,,1.0,n,,REM,GCN38492,
22810.0,,s,r,23.8,0.09,mag,AB,n,n,,,,,,,1.0,n,,VLT/FORS2,GCN38484,
24171.0,,s,r,19.5,,mag,AB,n,y,,,,,,,1.0,n,,REM,GCN38492,
500400.0,,s,5.5GHz,0.051000000000000004,,mJy,,n,y,,,,,,,1.0,n,,ATCA,GCN38608,
500400.0,,s,9GHz,0.036000000000000004,,mJy,,n,y,,,,,,,1.0,n,,ATCA,GCN38608,
