time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
15981.0,,s,r,20.0,,magnitude,,n,y,,,,,,,1.0,n,,NEXT 0.6m,GCN27104,,
16032.0,,s,w,19.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN27102,,
16032.0,,s,w,21.0,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN27108,,
16032.0,,s,w,21.5,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN27108,,
16771.0,,s,R,21.8,,magnitude,,n,y,,,,,,,1.0,n,,GMG 2.4m,GCN27103,,
16809.0,,s,R,22.0,,magnitude,,n,y,,,,,,,1.0,n,,AZT-33IK,GCN27122,,
17003.0,,s,uvot-uvw1,20.2,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN27108,,
17709.0,,s,R,21.75,0.25,magnitude,,n,n,,,,,,,1.0,n,,AZT-33IK,GCN27122,,
39175.0,,s,R,21.8,,magnitude,,n,y,,,,,,,1.0,n,,AS-32,GCN27122,,
54237.0,,s,z,23.3,,magnitude,,n,y,,,,,,,1.0,n,,NOT/AlFOSC,GCN27110,,
63395.0,,s,K,22.0,,magnitude,AB,n,n,,,,,,,1.0,n,,VLT/HAWK-I,GCN27114,,
197706.0,,s,R,22.7,0.3,magnitude,,n,n,,,,,,,1.0,n,,AZT-33IK,GCN27128,,
