time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
93.0,,s,56287.79949074074,R,17.5,,magnitude,,n,y,,,,,,,1.0,n,,Zadko 1m telescope,GCN14107,,
124.0,,s,56287.79984953704,w,19.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN14105,,
146.184,40.615,s,56287.8001062963,10keV,6.32029797946368e-07,1.35966335293305e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
153.0,,s,56287.80018518519,R,18.7,,magnitude,,n,y,,,,,,,1.0,n,,Zadko 1m telescope,GCN14107,,
179.0,,s,56287.80048611111,w,20.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN14113,,
206.851,20.065,s,56287.80080846065,10keV,1.04376443254577e-06,2.28196039455219e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
237.0,,s,56287.80115740741,R,19.4,,magnitude,,n,y,,,,,,,1.0,n,,Zadko 1m telescope,GCN14107,,
257.279,42.349,s,56287.80139211806,10keV,5.02304776208661e-07,1.12540411482985e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
399.758,100.454,s,56287.80304118056,10keV,1.52800671430403e-07,3.47141549267663e-08,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
432.0,,s,56287.80341435185,G,19.0,,magnitude,,n,y,,,,,,,1.0,n,,BOOTES-4/MET 0.6m,GCN14106,,
441.0,,s,56287.80351851852,uvot-u,19.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN14113,,
569.931,69.719,s,56287.80501077547,10keV,1.72573959906661e-07,3.8936421656988e-08,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
736.129,103.029,s,56287.80693436343,10keV,1.07080395616229e-07,1.97759039155577e-08,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
3621.0,,s,56287.84032407408,uvot-uvw2,20.2,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN14113,,
3743.0,,s,56287.84173611111,g,20.2,,magnitude,,n,y,,,,,,,1.0,n,,MITSuME 50cm telescope,GCN14108,,
3743.0,,s,56287.84173611111,Ic,19.5,,magnitude,,n,y,,,,,,,1.0,n,,MITSuME 50cm telescope,GCN14108,,
3743.0,,s,56287.84173611111,Rc,20.2,,magnitude,,n,y,,,,,,,1.0,n,,MITSuME 50cm telescope,GCN14108,,
4393.779,354.647,s,56287.849268275466,10keV,1.72880146237666e-08,4.55402754989025e-09,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
4921.982,293.632,s,56287.85538173612,10keV,1.86988255893302e-08,4.92822087634048e-09,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
5473.024,398.952,s,56287.86175953704,10keV,1.43099097266947e-08,3.78129599701171e-09,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
5681.0,,s,56287.86416666667,uvot-v,20.4,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN14113,,
6120.524,493.153,s,56287.86925375,10keV,1.42701679222487e-08,3.75906269435254e-09,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
6146.0,,s,56287.86954861112,uvot-uvm2,21.0,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN14113,,
6543.0,,s,56287.87414351852,uvot-uvw1,20.7,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN14113,,
8401.0,,s,56287.89564814815,uvot-u,20.9,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN14113,,
8985.0,,s,56287.90240740741,uvot-b,21.3,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN14113,,
9132.0,,s,56287.9041087963,w,21.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN14113,,
9796.0,,s,56287.91179398148,Ic,18.8,,magnitude,,n,y,,,,,,,1.0,n,,ARIES 1.04m telescope,GCN14109,,
11300.0,,s,56287.92920138889,Rc,19.5,,magnitude,,n,y,,,,,,,1.0,n,,ARIES 1.04m telescope,GCN14109,,
12489.395,5667.454,s,56287.94296753473,10keV,5.33809886339139e-09,8.99985353882352e-10,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
