time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
45.5,,s,R,17.8,,mag,,n,y,,,,,,,1.0,n,,TAROT,GCN14908,
57.5,,s,R,17.8,,mag,,n,y,,,,,,,1.0,n,,TAROT,GCN14908,
69.5,,s,R,17.8,,mag,,n,y,,,,,,,1.0,n,,TAROT,GCN14908,
81.5,,s,R,16.9,,mag,,n,n,,,,,,,1.0,n,,TAROT,GCN14908,
87.5,,s,R,16.5,,mag,,n,n,,,,,,,1.0,n,,TAROT,GCN14908,
94.0,0.0,s,R,17.8,0.0,mag,Vega,y,y,0.0478225046047335,17.928177495395264,,0.24476834464821653,,mJy,1.0,n,TAROT-S(25cm),ANDOR-IKON-DW-436-N,Dainotti2024;14908,
99.5,,s,R,16.1,,mag,,n,n,,,,,,,1.0,n,,TAROT,GCN14908,
100.0,0.0,s,R,17.8,0.0,mag,Vega,y,y,0.0478225046047335,17.928177495395264,,0.24476834464821653,,mJy,1.0,n,TAROT-S(25cm),ANDOR-IKON-DW-436-N,Dainotti2024;14908,
106.0,0.0,s,R,17.8,0.0,mag,Vega,y,y,0.0478225046047335,17.928177495395264,,0.24476834464821653,,mJy,1.0,n,TAROT-S(25cm),ANDOR-IKON-DW-436-N,Dainotti2024;14908,
112.0,0.0,s,R,17.8,0.0,mag,Vega,y,y,0.0478225046047335,17.928177495395264,,0.24476834464821653,,mJy,1.0,n,TAROT-S(25cm),ANDOR-IKON-DW-436-N,Dainotti2024;14908,
118.0,0.0,s,R,17.8,0.0,mag,Vega,y,y,0.0478225046047335,17.928177495395264,,0.24476834464821653,,mJy,1.0,n,TAROT-S(25cm),ANDOR-IKON-DW-436-N,Dainotti2024;14908,
124.0,0.0,s,R,17.7,0.0,mag,Vega,y,y,0.0478225046047335,17.828177495395263,,0.26838315301282994,,mJy,1.0,n,TAROT-S(25cm),ANDOR-IKON-DW-436-N,Dainotti2024;14908,
130.0,0.0,s,R,16.9,0.0,mag,Vega,y,y,0.0478225046047335,17.028177495395262,,0.5607318831761136,,mJy,1.0,n,TAROT-S(25cm),ANDOR-IKON-DW-436-N,Dainotti2024;14908,
136.0,0.0,s,R,16.5,0.0,mag,Vega,y,y,0.0478225046047335,16.628177495395263,,0.8105041646680125,,mJy,1.0,n,TAROT-S(25cm),ANDOR-IKON-DW-436-N,Dainotti2024;14908,
140.64,1.972,s,10keV,2.51744764085928e-06,4.59629533183133e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
142.0,0.0,s,R,16.6,0.0,mag,Vega,y,y,0.0478225046047335,16.728177495395265,,0.7391885835203345,,mJy,1.0,n,TAROT-S(25cm),ANDOR-IKON-DW-436-N,Dainotti2024;14908,
142.5,,s,w,17.91,0.14,mag,,n,n,,,,,,,1.0,n,,Swift/UVOT,GCN14842,
143.94,2.036,s,10keV,3.16681645981003e-06,5.78186434923876e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
148.0,0.0,s,R,16.1,0.0,mag,Vega,y,y,0.0478225046047335,16.228177495395265,,1.1715349539663518,,mJy,1.0,n,TAROT-S(25cm),ANDOR-IKON-DW-436-N,Dainotti2024;14908,
148.701,2.725,s,10keV,2.81034033678398e-06,5.27911036729492e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
152.871,1.952,s,10keV,4.73611533115655e-06,8.89665110737245e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
157.2,2.803,s,10keV,4.14964870849753e-06,8.02313344593071e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
162.35,2.487,s,10keV,3.9610755735866e-06,7.23218694547565e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
167.093,2.713,s,10keV,3.08580594422581e-06,5.79678625783988e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
174.207,4.401,s,10keV,1.48438152884268e-06,3.44501570935562e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
181.222,2.725,s,10keV,4.85996074746077e-06,8.8735333309728e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
186.975,3.296,s,10keV,5.59487951798127e-06,1.11387511335674e-06,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
193.369,3.523,s,10keV,4.46248351681507e-06,8.14777714733128e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
200.56,4.346,s,10keV,2.66614896444914e-06,5.30791870083301e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
204.0,0.0,s,B,18.1,0.0,mag,Vega,y,y,0.08193684830189521,17.873063151698105,,0.25751408501162343,,mJy,1.0,n,PROMPT(16inch),ApogeeAltaU47,Dainotti2024;14844,
204.0,0.0,s,I,16.6,0.0,mag,Vega,y,y,0.033411555387265056,16.98358844461274,,0.5842394396102699,,mJy,1.0,n,PROMPT(16inch),ApogeeAltaU47,Dainotti2024;14844,
204.0,0.0,s,V,17.1,0.0,mag,Vega,y,y,0.06351236372423585,17.014487636275767,,0.5678468152522579,,mJy,1.0,n,PROMPT(16inch),ApogeeAltaU47,Dainotti2024;14844,
208.294,3.607,s,10keV,2.54031128999246e-06,4.77196207371337e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
215.0,0.0,s,uvot-white,17.85,0.04,mag,Vega,y,n,0.10665349284055728,18.543346507159445,0.04,0.1388953306736979,0.005117093086331767,mJy,1.0,n,Swift,UVOT,Dainotti2024;14859,
215.474,3.948,s,10keV,1.91264829254935e-06,3.49209108413308e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
246.531,18.323,s,10keV,1.1418410557583e-06,2.49333423931911e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
277.496,19.2,s,10keV,9.82959444771872e-07,2.05452634526657e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
299.383,11.566,s,10keV,1.31139116483303e-06,2.86168988981999e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
336.844,25.894,s,10keV,4.61879037523074e-07,1.01054988410002e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
369.5,0.0,s,uvot-u,17.67,0.09,mag,Vega,y,n,0.10268246075369222,18.58731753924631,0.09,0.13338261671829912,0.011056493697123382,mJy,1.0,n,Swift,UVOT,Dainotti2024;14859,
370.7,25.498,s,10keV,4.32184487943535e-07,9.72411891280818e-08,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
417.498,21.3,s,10keV,4.79802954663139e-07,1.05253077811059e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
960.0,0.0,s,R,17.9,0.0,mag,Vega,y,y,0.0478225046047335,18.028177495395262,,0.22323138345037702,,mJy,1.0,n,Liverpool(2m),RATCAM,Dainotti2024;14843,
1493.974,59.069,s,10keV,2.03201009509385e-07,4.57579512210055e-08,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
1602.844,52.602,s,10keV,2.33468886192487e-07,5.24257807359867e-08,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
1674.0,0.0,s,uvot-white,19.56,0.19,mag,Vega,y,n,0.10665349284055728,20.253346507159442,0.19,0.02875329671816272,0.005031725342223384,mJy,1.0,n,Swift,UVOT,Dainotti2024;14859,
