time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
30541.0,,s,53243.035162037035,Rc,19.5,,magnitude,,n,y,,,,,,,1.0,n,,Loiano 152cm BFOSC,GCN2664,,
53423.0,,s,53243.3,R,23.5,,magnitude,,n,y,,,,,,,1.0,n,,Danish 1.54m,GCN2686,,
54287.0,,s,53243.31,V,23.3,,magnitude,,n,y,,,,,,,1.0,n,,Danish 1.54m,GCN2686,,
140687.0,,s,53244.31,R,23.0,,magnitude,,n,y,,,,,,,1.0,n,,Danish 1.54m,GCN2686,,
224495.0,,s,53245.28,I,21.0,,magnitude,,n,y,,,,,,,1.0,n,,Danish 1.54m,GCN2686,,
