time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
40626.0,0.0,s,r,21.06,0.11,mag,AB,y,n,0.9420470588492165,20.117952941150783,0.11,0.03257204847479134,0.003299996183718695,mJy,1.0,n,HaroldJohnson(1.5m),RATIR,Dainotti2024;20681,
40626.0,0.0,s,i,20.89,0.13,mag,AB,y,n,0.7170455165719319,20.172954483428068,0.13,0.030963101436538132,0.0037073491416330317,mJy,1.0,n,HaroldJohnson(1.5m),RATIR,Dainotti2024;20681,
40626.0,0.0,s,Z,20.54,0.18,mag,AB,y,n,0.5539491273631828,19.986050872636817,0.18,0.03677950668570173,0.0060975319551963576,mJy,1.0,n,HaroldJohnson(1.5m),RATIR,Dainotti2024;20681,
40626.0,0.0,s,Y,20.34,0.32,mag,AB,y,n,0.4286482435639914,19.91135175643601,0.32,0.03939903151193688,0.01161211169763693,mJy,1.0,n,HaroldJohnson(1.5m),RATIR,Dainotti2024;20681,
51945.0,0.0,s,uvot-uvw1,21.0,0.0,mag,Vega,y,y,2.462956762973704,20.047043237026298,,0.03477034133477724,,mJy,1.0,n,Swift,UVOT,Dainotti2024;20682,
63033.1,0.0,s,z,20.3,0.1,mag,AB,y,n,0.5434681132793572,19.756531886720644,0.1,0.04543740228381141,0.004184939406523111,mJy,1.0,n,MPG-ESO(2.2m),GROND,Dainotti2024;20684,
63033.1,0.0,s,g,22.6,0.3,mag,AB,y,n,1.309507723797414,21.29049227620259,0.3,0.011061890074471462,0.0030565131822980138,mJy,1.0,n,MPG-ESO(2.2m),GROND,Dainotti2024;20684,
63033.1,0.0,s,r,21.3,0.1,mag,AB,y,n,0.9420470588492165,20.357952941150785,0.1,0.026112296741840325,0.002405031408863941,mJy,1.0,n,MPG-ESO(2.2m),GROND,Dainotti2024;20684,
63033.1,0.0,s,i,20.8,0.1,mag,AB,y,n,0.7170455165719319,20.082954483428068,0.1,0.033639106787309365,0.003098276233203735,mJy,1.0,n,MPG-ESO(2.2m),GROND,Dainotti2024;20684,
63033.1,0.0,s,J,19.6,0.1,mag,AB,y,n,0.30743836553305454,19.292561634466946,0.1,0.0696629072764474,0.006416190873174969,mJy,1.0,n,MPG-ESO(2.2m),GROND,Dainotti2024;20684,
63033.1,0.0,s,H,19.3,0.1,mag,AB,y,n,0.18890597866423997,19.11109402133576,0.1,0.08233578687725616,0.007583406219340193,mJy,1.0,n,MPG-ESO(2.2m),GROND,Dainotti2024;20684,
63033.1,0.0,s,K,18.8,0.3,mag,AB,y,n,0.10733681595995588,18.692663184040043,0.3,0.12104893568742553,0.03344705698039931,mJy,1.0,n,MPG-ESO(2.2m),GROND,Dainotti2024;20684,
107618.0,0.0,s,R,21.4,0.0,mag,Vega,y,y,0.8162688228745614,20.759731177125435,,0.018035732196510376,,mJy,1.0,n,AZT-33IK(1.6m),E2V-CCD30-11,Dainotti2024;20687,
140040.0,0.0,s,r,22.45,0.07,mag,AB,y,n,0.9420470588492165,21.507952941150783,0.07,0.0090540955303476,0.0005837391111642275,mJy,1.0,n,NOT(2.56m),ALFOSC,Dainotti2024;20683,
159840.0,0.0,s,r,22.78,0.08,mag,AB,y,n,0.9420470588492165,21.837952941150785,0.08,0.006681055391836484,0.0004922783536227259,mJy,1.0,y,HaroldJohnson(1.5m),RATIR,Dainotti2024;20685,
159840.0,0.0,s,i,22.4,0.15,mag,AB,y,n,0.7170455165719319,21.682954483428066,0.15,0.007706274160704809,0.0010646611202978456,mJy,1.0,y,HaroldJohnson(1.5m),RATIR,Dainotti2024;20685,
159840.0,0.0,s,Z,21.54,0.17,mag,AB,y,n,0.5539491273631828,20.986050872636817,0.17,0.014642185340998141,0.002292611683262602,mJy,1.0,y,HaroldJohnson(1.5m),RATIR,Dainotti2024;20685,
159840.0,0.0,s,Y,21.22,0.17,mag,AB,y,n,0.4286482435639914,20.791351756436008,0.17,0.01751804131820784,0.0027429010942476217,mJy,1.0,y,HaroldJohnson(1.5m),RATIR,Dainotti2024;20685,
