time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
210787.0,0.0,s,R,19.19,0.03,mag,Vega,y,n,0.06857784062515833,19.29742215937484,0.03,0.06935174373488016,0.0019162594955649394,mJy,1.0,n,AZT-33IK(1.6m),E2V-CCD30-11,Dainotti2024;31643,
297161.0,0.0,s,R,19.34,0.03,mag,Vega,y,n,0.06857784062515833,19.447422159374838,0.03,0.06040284369304541,0.0016689922495446692,mJy,1.0,n,AZT-33IK(1.6m),E2V-CCD30-11,Dainotti2024;31643,
