time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
112.0,,s,V,16.2,,mag,,n,y,,,,,,,1.0,n,,KAIT 0.76m Lick,GCN6795,
143.0,,s,I,17.3,,mag,,n,y,,,,,,,1.0,n,,KAIT 0.76m Lick,GCN6795,
7982.0,,s,Ic,17.8,,mag,,n,y,,,,,,,1.0,n,,MITSuME 50cm Akeno,GCN6794,
41052.0,,s,R,21.1,,mag,,n,y,,,,,,,1.0,n,,AZT-11 (CrAO),GCN6801,
49660.0,,s,R,23.1,,mag,,n,n,,,,,,,1.0,n,,Nordic Optical Telescope,GCN6803,
252607.385,60831.351,s,10keV,2.95865691928659e-09,7.61994163129298e-10,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
602333.014,260885.921,s,10keV,1.29304521192398e-09,3.35398057746946e-10,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
1072787.921,282181.591,s,10keV,5.50735897385888e-10,2.06027003886384e-10,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
