time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
0.0,,s,61199.0,uvot-uvw1,19.56,0.26,magnitude,AB,n,n,,,,,,,1.0,n,,Swift/UVOT,GCN45106,,
270518400.0,,s,64330.0,g,10.5,,magnitude,,n,n,,,,,,,1.0,n,,,GCN45106,,
