time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
0.0,0.0,s,r,17.9,0.0,mag,AB,y,y,0.11030891785640973,17.789691082143587,,0.27806723347797585,,mJy,1.0,n,Oschin(1.2m),ZTF,Dainotti2024;29305,
55078.8,0.0,s,R,21.04,0.06,mag,Vega,y,n,0.09558092632995553,21.120419073670043,0.06,0.012937745965238102,0.0007149662639160268,mJy,1.0,n,DOT(3.6m),ADFOSC,Dainotti2024;29308,
59273.9,0.0,s,r,21.64,0.03,mag,AB,y,n,0.11030891785640973,21.52969108214359,0.03,0.008874621019081009,0.0002452148407740907,mJy,1.0,y,GTC(10.4m),OSIRIS,Dainotti2024;29307,
62115.0,0.0,s,R,21.27,0.13,mag,Vega,y,n,0.09558092632995553,21.350419073670043,0.13,0.010467877205085796,0.001253365256401582,mJy,1.0,n,2.2m,CAFOS,Dainotti2024;29312,
70156.8,0.0,s,g,22.28,0.05,mag,AB,y,n,0.15333669223824165,22.12666330776176,0.05,0.005121072518164744,0.0002358341048093524,mJy,1.0,y,NOT(2.56m),ALFOSC,Dainotti2024;29310,
71798.4,0.0,s,r,21.86,0.04,mag,AB,y,n,0.11030891785640973,21.74969108214359,0.04,0.007246859076669992,0.00026698415489550273,mJy,1.0,n,NOT(2.56m),ALFOSC,Dainotti2024;29310,
73440.0,0.0,s,i,21.65,0.03,mag,AB,y,n,0.08396238196790576,21.566037618032095,0.03,0.008582448413640632,0.0002371418133436718,mJy,1.0,n,NOT(2.56m),ALFOSC,Dainotti2024;29310,
84915.0,0.0,s,H,21.36,0.24,mag,AB,y,n,0.0221199290282946,21.337880070971703,0.24,0.010589469907092027,0.002340782932874798,mJy,1.0,n,LBT(8.4m),LUCI,Dainotti2024;29327,
84915.0,0.0,s,J,21.62,0.2,mag,AB,y,n,0.03599946848825384,21.584000531511748,0.2,0.008441624623035065,0.0015550047214121618,mJy,1.0,n,LBT(8.4m),LUCI,Dainotti2024;29327,
86554.0,0.0,s,g,20.1,0.0,mag,AB,y,y,0.15333669223824165,19.94666330776176,,0.03813826444968535,,mJy,1.0,n,2.1m,FLAMINGOS,Dainotti2024;29316,
86554.0,0.0,s,r,19.9,0.0,mag,AB,y,y,0.11030891785640973,19.789691082143587,,0.04407068653857392,,mJy,1.0,n,2.1m,FLAMINGOS,Dainotti2024;29316,
90078.0,0.0,s,i,22.1,0.2,mag,AB,y,n,0.08396238196790576,22.016037618032097,0.2,0.005670367434755532,0.001044520282165358,mJy,1.0,n,DCT(4.3m),LMI,Dainotti2024;29309,
150708.0,0.0,s,Rc,22.89,0.12,mag,Vega,y,n,0.10141989159534362,22.964580108404654,0.12,0.0023669779137555345,0.00026160806686366275,mJy,1.0,n,2.2m,CAFOS,Dainotti2024;29321,
157607.0,0.0,s,g,23.39,0.11,mag,AB,y,n,0.15333669223824165,23.23666330776176,0.11,0.001842302433694106,0.0001866505573068708,mJy,1.0,n,MPG-ESO(2.2m),GROND,Dainotti2024;29330,
174618.0,0.0,s,g,23.47,0.06,mag,AB,y,n,0.15333669223824165,23.316663307761758,0.06,0.0017114370351847038,9.457750571554141e-05,mJy,1.0,n,MPG-ESO(2.2m),GROND,Dainotti2024;29330,
248067.0,0.0,s,g,23.84,0.09,mag,AB,y,n,0.15333669223824165,23.68666330776176,0.09,0.0012171971471901452,0.00010089720022877668,mJy,1.0,n,MPG-ESO(2.2m),GROND,Dainotti2024;29330,
814824.0,0.0,s,r,23.98,0.0,mag,AB,y,y,0.11030891785640973,23.86969108214359,,0.0010283709881369403,,mJy,1.0,n,DOT(3.6m),ADFOSC,Dainotti2024;29364,
