#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy fluence in XX - XX keV, with unit of erg/cm^2.
## XX_XXkeV_low: The lower limit of energy fluence in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy fluence in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250331B   |   1299965    | 1.135403e-08 | 5.823311e-09 | 1.578229e-08 | 1.525844e-08 | 7.987300e-09 | 2.106929e-08 | 1.631887e-08 | 5.339493e-10 | 2.083723e-08 | 1.111834e-08 | 1.586427e-09 | 1.377114e-08 | 3.389690e-08 | 1.461403e-08 | 4.540775e-08 | 4.510451e-08 | 1.710055e-08 | 6.884620e-08 | 7.327233e-08 | 3.704248e-08 | 1.041358e-07 | 1 | 1.284000 | 2.284000 |  
GRB250330A   |   1299776    | 4.085451e-08 | 3.618762e-08 | 4.556171e-08 | 8.043036e-08 | 7.464659e-08 | 8.636345e-08 | 1.024849e-07 | 9.372382e-08 | 1.113038e-07 | 5.743412e-08 | 4.293090e-08 | 7.260892e-08 | 1.262409e-07 | 7.216556e-08 | 2.285862e-07 | 2.812030e-07 | 2.593821e-07 | 3.030470e-07 | 3.500096e-07 | 2.920922e-07 | 4.523036e-07 | 1 | 0.260000 | 1.260000 |  
GRB250327A   |   1299088    | 1.289377e-08 | 1.715853e-09 | 2.982497e-08 | 5.043128e-08 | 2.801689e-08 | 6.841006e-08 | 6.945604e-08 | 4.023833e-08 | 1.026219e-07 | 1.753436e-08 | 5.383442e-09 | 3.217214e-08 | 2.081901e-08 | 5.700461e-09 | 4.345803e-08 | 1.504388e-07 | 1.047273e-07 | 1.959973e-07 | 1.538544e-07 | 1.059424e-07 | 2.024697e-07 | 1 | 24.492000 | 25.492000 |  
GRB250322A   |   1297832    | 6.093124e-09 | 3.950299e-09 | 8.435095e-09 | 2.212229e-08 | 1.827848e-08 | 2.606514e-08 | 5.927888e-08 | 5.103640e-08 | 6.776259e-08 | 6.406045e-08 | 4.760033e-08 | 7.908789e-08 | 2.570218e-07 | 1.029319e-07 | 4.656826e-07 | 1.515549e-07 | 1.322544e-07 | 1.703727e-07 | 3.444054e-07 | 1.921100e-07 | 5.528280e-07 | 1 | -0.162000 | 0.838000 |  
GRB250321A   |   1297508    | 2.499252e-08 | 1.699495e-08 | 3.348729e-08 | 6.208833e-08 | 5.124718e-08 | 7.351738e-08 | 1.012908e-07 | 8.291250e-08 | 1.203040e-07 | 6.800330e-08 | 4.080562e-08 | 9.420197e-08 | 1.635046e-07 | 6.028510e-08 | 3.831687e-07 | 2.563717e-07 | 2.163964e-07 | 2.958285e-07 | 3.518682e-07 | 2.435174e-07 | 5.746058e-07 | 1 | -0.156000 | 0.844000 |  
GRB250312A   |   1294765    | 8.222237e-09 | 4.899706e-09 | 1.215850e-08 | 2.331739e-08 | 1.712616e-08 | 2.748907e-08 | 5.351802e-08 | 4.349607e-08 | 6.343515e-08 | 5.920931e-08 | 4.861161e-08 | 7.703534e-08 | 3.271448e-07 | 2.685592e-07 | 5.075163e-07 | 1.442614e-07 | 1.184323e-07 | 1.714786e-07 | 4.360236e-07 | 1.547141e-07 | 6.505939e-07 | 1 | 0.684000 | 1.684000 |  
GRB250306A   |   1293340    | 2.304571e-07 | 2.031375e-07 | 2.585890e-07 | 1.139646e-07 | 6.023515e-08 | 1.516876e-07 | 1.289348e-06 | 1.215010e-06 | 1.364677e-06 | 9.657840e-07 | 8.627203e-07 | 1.067481e-06 | 2.437699e-06 | 1.830080e-06 | 3.302783e-06 | 3.157476e-06 | 3.006976e-06 | 3.307653e-06 | 6.789847e-06 | 4.025780e-06 | 5.474948e-06 | 1 | 0.140000 | 1.140000 |  
GRB250225B   |   1291459    | 7.068382e-08 | 6.285502e-08 | 7.747115e-08 | 1.790853e-07 | 1.716683e-07 | 1.896357e-07 | 3.632537e-07 | 3.425942e-07 | 3.908139e-07 | 3.749903e-07 | 3.363876e-07 | 3.892961e-07 | 1.906865e-06 | 1.344064e-06 | 2.091221e-06 | 9.878705e-07 | 9.377995e-07 | 1.033094e-06 | 2.333297e-06 | 1.967796e-06 | 2.596211e-06 | 1 | 1.312000 | 2.312000 |  
GRB250221A   |   1290305    | 1.858617e-08 | 7.106406e-09 | 2.605134e-08 | 2.480961e-08 | 1.116478e-08 | 3.172123e-08 | 2.548649e-08 | 1.227298e-08 | 2.993781e-08 | 1.617149e-08 | 6.475898e-12 | 2.361239e-08 | 5.936904e-08 | 2.472521e-08 | 8.172972e-08 | 8.494151e-08 | 4.092795e-08 | 1.021081e-07 | 1.280177e-07 | 5.051496e-08 | 1.879576e-07 | 1 | 0.424000 | 1.424000 |  
GRB250207A   |   1287821    | 1.782953e-08 | 1.353911e-08 | 2.229564e-08 | 5.311657e-08 | 4.720087e-08 | 5.921885e-08 | 9.451919e-08 | 8.417439e-08 | 1.051114e-07 | 5.908810e-08 | 4.170902e-08 | 7.678033e-08 | 1.182796e-07 | 6.197549e-08 | 2.415628e-07 | 2.245536e-07 | 2.007382e-07 | 2.481590e-07 | 2.837462e-07 | 2.246208e-07 | 4.042034e-07 | 1 | 6.928000 | 7.928000 |  
