recno,ID,z,S,e_S,E_S,Tp1024,Fp1024,e_Fp1024,E_Fp1024,Tp64,Fp64,e_Fp64,E_Fp64,Tp64r,Fp63r,e_Fp63r,E_Fp63r,Eiso,e_Eiso,E_Eiso,Liso,e_Liso,E_Liso
157,"GRB170531B",2.366,34.6,5.06,6.72,42.648,1.11,0.25,0.29,42.888,3.0,0.9,0.98,161.419,1.7,0.48,0.53,68.15,9.97,13.24,11.3,3.2,3.51
158,"GRB170604A",1.329,118.0,14.9,15.1,2.432,6.87,1.15,1.21,2.792,16.5,4.92,5.0,2.78,12.0,3.03,3.11,71.14,9.02,9.13,14.06,3.54,3.63
159,"GRB171020A",1.87,31.1,5.31,6.43,6.376,1.57,0.45,0.48,17.848,6.26,1.73,1.87,7.977,3.31,1.11,1.17,28.42,4.85,5.88,8.66,2.91,3.08
160,"GRB171205A",0.0368,74.3,9.45,11.3,34.0,1.33,0.34,0.36,4.952,5.68,1.46,1.54,4.964,5.31,1.42,1.49,0.03,0.0,0.0,0.0,0.0,0.0
161,"GRB171222A",2.409,40.2,6.16,8.31,14.0,2.02,0.87,1.04,13.608,6.09,2.91,3.39,14.752,3.41,1.65,1.91,90.37,13.84,18.66,16.7,8.06,9.36
162,"GRB180115A",2.487,8.86,1.85,3.52,66.0,0.52,0.15,0.18,66.024,1.5,0.57,0.63,63.388,0.75,0.29,0.32,17.17,3.58,6.81,5.09,1.96,2.17
163,"GRB180205A",1.409,20.9,2.54,3.32,0.24,2.95,0.45,0.53,0.144,7.36,1.59,1.74,0.136,6.71,1.17,1.33,18.91,2.29,3.0,13.44,2.33,2.66
164,"GRB180329B",1.998,48.2,10.9,12.4,1.328,1.85,0.57,0.7,8.008,6.11,2.25,2.62,5.048,3.45,1.23,1.44,66.2,14.9,16.95,12.77,4.54,5.34
165,"GRB180404A",1.0,24.4,3.63,5.68,1.584,1.36,0.26,0.39,0.264,2.85,0.79,1.0,0.2,2.51,0.62,0.82,11.47,1.71,2.68,2.31,0.57,0.76
166,"GRB180624A",2.855,73.0,13.7,17.9,6.464,1.59,0.35,0.43,1.656,3.89,1.09,1.24,6.476,2.91,0.67,0.81,193.5,36.39,47.39,26.25,6.07,7.31
167,"GRB181110A",1.505,180.0,22.9,32.1,24.784,4.57,0.62,0.44,10.704,7.41,1.37,1.17,10.384,6.11,1.0,0.81,207.0,26.38,36.94,14.64,2.4,1.94
