recno,ID,z,S,e_S,E_S,Tp1024,Fp1024,e_Fp1024,E_Fp1024,Tp64,Fp64,e_Fp64,E_Fp64,Tp64r,Fp63r,e_Fp63r,E_Fp63r,Eiso,e_Eiso,E_Eiso,Liso,e_Liso,E_Liso
58,"GRB080604 ",1.4171,18.4,3.02,3.75,3.0,0.91,0.22,0.24,59.944,2.58,0.81,0.87,15.202,1.55,0.52,0.55,12.88,2.11,2.62,2.62,0.88,0.94
59,"GRB080707 ",1.2322,11.4,2.95,5.34,1.608,1.31,0.38,0.63,1.288,2.93,1.06,1.55,1.285,2.5,0.8,1.26,6.5,1.68,3.04,3.17,1.01,1.59
60,"GRB080804 ",2.2045,116.0,12.2,12.9,1.336,7.29,0.94,0.97,2.32,13.7,3.42,3.44,2.34,10.2,1.95,1.97,145.0,15.33,16.18,40.65,7.76,7.85
61,"GRB080805 ",1.5042,57.7,6.09,7.39,2.272,4.09,0.52,0.56,3.216,6.78,1.45,1.49,2.836,4.9,0.91,0.95,36.82,3.89,4.72,7.49,1.4,1.45
62,"GRB080810 ",3.3604,200.0,22.2,23.4,24.704,7.04,0.82,0.85,23.744,11.2,2.12,2.16,23.792,8.14,1.19,1.22,554.8,61.57,64.79,91.85,13.43,13.76
63,"GRB080905B",2.3739,43.4,11.2,18.9,2.52,5.61,1.21,1.29,2.888,11.3,3.22,3.34,2.8,7.41,1.93,2.02,75.98,19.59,33.13,37.99,9.91,10.34
64,"GRB080906 ",2.13,133.0,20.5,22.1,10.576,2.87,0.53,0.56,15.872,5.49,1.49,1.53,11.328,3.63,0.9,0.93,183.0,28.09,30.4,15.61,3.86,3.98
65,"GRB080913 ",6.7,8.07,1.35,1.88,0.216,1.38,0.27,0.35,4.024,2.89,0.86,0.98,0.017,1.59,0.35,0.43,59.99,10.03,13.97,90.71,20.0,24.82
66,"GRB080928 ",1.6919,56.8,9.66,13.8,203.0,3.15,0.6,0.9,203.304,4.81,1.17,1.56,203.091,4.31,0.9,1.29,60.04,10.21,14.58,11.12,2.33,3.32
67,"GRB081008 ",1.9685,123.0,21.4,25.4,0.544,3.34,0.64,0.74,3.704,6.94,1.75,1.91,0.061,5.04,1.12,1.25,144.3,25.0,29.69,15.34,3.42,3.81
68,"GRB081028A",3.038,70.5,7.31,10.8,215.0,1.14,0.3,0.44,207.856,2.53,0.94,1.18,215.147,1.53,0.5,0.66,200.1,20.74,30.53,16.32,5.3,7.03
69,"GRB081029 ",3.8479,60.8,15.0,25.1,10.0,0.93,0.33,0.45,65.072,4.68,1.51,2.16,38.691,1.56,0.59,0.78,205.4,50.78,84.77,25.54,9.58,12.77
70,"GRB081109A",0.9787,100.0,19.9,18.7,4.144,3.05,0.49,0.56,5.008,6.22,1.37,1.48,1.767,4.52,0.94,1.02,37.7,7.51,7.02,2.81,0.59,0.64
71,"GRB090113 ",1.7493,19.8,3.32,4.44,1.416,5.49,0.95,1.26,1.952,10.2,2.17,2.65,1.826,7.24,1.43,1.79,19.03,3.19,4.27,19.13,3.77,4.73
72,"GRB090418A",1.608,184.0,14.8,15.4,39.104,6.69,0.85,0.88,36.84,14.0,2.87,2.9,39.849,11.9,1.91,1.95,141.7,11.38,11.81,22.89,3.67,3.73
73,"GRB090426 ",2.609,1.36,0.27,0.29,0.096,1.43,0.3,0.33,0.416,2.75,0.73,0.77,0.311,2.48,0.53,0.58,2.39,0.47,0.52,15.72,3.38,3.67
74,"GRB090429B",9.38,6.7,1.53,1.76,0.064,2.04,0.48,0.55,0.088,4.28,1.16,1.29,0.114,2.41,0.57,0.65,102.0,23.27,26.8,380.4,90.47,103.2
75,"GRB090516A",4.109,150.0,18.0,20.8,17.48,4.34,1.06,1.09,6.944,12.7,4.16,4.24,4.731,5.61,1.71,1.74,604.1,72.4,83.94,111.9,34.07,34.77
76,"GRB090519 ",3.85,73.7,15.8,17.9,5.816,3.1,0.85,0.92,6.704,7.78,2.71,2.85,3.67,4.13,1.38,1.45,226.0,48.42,54.8,61.43,20.46,21.62
77,"GRB090530 ",1.266,21.7,5.68,12.3,0.168,7.04,1.84,2.19,0.224,11.4,3.42,3.92,0.173,10.0,2.8,3.27,11.54,3.03,6.57,13.54,3.79,4.42
78,"GRB090726 ",2.71,9.58,1.23,1.34,6.704,0.91,0.34,0.35,5.976,3.52,1.29,1.33,3.672,1.43,0.63,0.65,27.6,3.53,3.85,12.62,5.59,5.71
79,"GRB090814A",0.696,14.2,2.92,4.19,13.0,0.68,0.21,0.25,3.488,2.76,0.83,1.01,11.033,1.58,0.57,0.66,2.09,0.43,0.62,0.39,0.14,0.16
80,"GRB090926B",1.24,111.0,4.47,4.68,1.536,5.62,0.88,0.71,0.68,10.3,2.23,2.02,0.582,8.3,1.64,1.46,50.66,2.04,2.14,10.36,2.05,1.82
81,"GRB091018 ",0.971,22.9,1.33,1.41,1.232,7.95,0.48,0.51,0.968,11.0,1.01,1.03,1.151,10.7,0.83,0.86,9.13,0.53,0.56,8.38,0.65,0.68
82,"GRB091029 ",2.752,56.3,8.94,8.63,19.192,2.67,0.45,0.44,27.328,3.92,0.91,0.9,17.849,3.28,0.63,0.61,156.5,24.84,24.0,34.22,6.55,6.4
83,"GRB091109A",3.076,33.9,7.61,9.38,11.392,2.65,0.75,0.86,17.672,6.55,2.44,2.66,10.039,4.08,1.37,1.52,74.61,16.73,20.62,36.55,12.31,13.65
84,"GRB100316A",3.155,22.3,4.14,4.33,1.952,5.2,1.13,1.17,3.128,12.2,3.29,3.37,2.939,6.17,1.61,1.65,67.92,12.59,13.19,78.04,20.34,20.83
85,"GRB100316B",1.18,2.22,0.36,0.48,0.592,0.68,0.13,0.16,0.216,1.36,0.39,0.43,0.176,1.06,0.27,0.31,1.58,0.26,0.34,1.65,0.43,0.49
86,"GRB100615A",1.398,105.0,9.35,5.72,1.112,10.2,1.74,1.82,1.84,14.7,2.85,2.95,1.83,12.6,2.29,2.38,97.57,8.65,5.28,17.38,3.16,3.29
87,"GRB100728B",2.106,42.3,7.13,6.53,0.144,6.9,1.31,1.22,0.496,12.2,3.54,3.44,0.52,8.37,2.05,1.98,72.87,12.26,11.24,44.75,10.98,10.56
88,"GRB100901A",1.408,67.3,16.7,22.7,389.488,1.37,0.41,0.52,395.432,3.63,1.36,1.6,393.118,2.33,0.88,1.03,38.2,9.49,12.88,3.18,1.2,1.4
89,"GRB101219B",0.5519,26.3,4.96,5.17,27.0,1.45,0.56,0.56,21.16,6.99,2.55,2.59,21.919,5.46,1.94,1.97,2.56,0.48,0.5,0.8,0.28,0.29
90,"GRB110106B",0.618,34.5,4.27,5.41,5.448,3.63,0.63,0.66,5.504,7.88,2.18,2.22,5.556,8.29,1.84,1.89,4.78,0.59,0.75,2.43,0.54,0.55
91,"GRB110128A",2.339,12.7,4.26,7.29,3.384,3.25,1.07,1.16,3.904,9.54,3.91,4.12,3.784,6.21,2.28,2.43,17.7,5.93,10.15,29.58,10.87,11.59
92,"GRB110205A",2.22,405.0,28.9,31.3,210.0,6.03,0.6,0.65,210.792,10.7,1.5,1.57,210.667,9.03,1.03,1.09,629.5,44.85,48.61,39.82,4.55,4.83
93,"GRB110726A",1.036,2.88,0.38,0.39,0.256,0.75,0.14,0.14,0.512,2.05,0.56,0.56,0.667,1.43,0.38,0.38,0.96,0.12,0.13,0.97,0.26,0.26
94,"GRB110801A",1.858,71.6,8.91,13.2,5.208,2.02,0.57,0.66,3.24,5.34,1.84,2.05,3.252,3.85,1.2,1.36,94.24,11.72,17.35,11.42,3.56,4.04
95,"GRB110818A",3.36,97.7,9.82,10.2,27.52,2.8,0.67,0.75,27.72,6.53,2.07,2.21,27.561,3.98,1.07,1.17,445.4,44.76,46.71,49.54,13.37,14.59
96,"GRB111107A",2.893,21.1,4.55,6.58,2.448,3.29,0.84,0.99,0.768,6.61,2.14,2.38,2.624,5.13,1.4,1.61,47.02,10.14,14.67,41.49,11.3,13.05
97,"GRB111123A",3.1516,153.0,14.9,18.2,143.296,1.98,0.28,0.32,143.784,4.13,0.91,0.96,143.704,2.67,0.47,0.51,390.0,38.05,46.51,28.88,5.05,5.47
98,"GRB111225A",0.297,31.7,7.67,9.71,4.504,1.77,0.5,0.6,12.464,4.38,1.58,1.78,3.429,4.12,1.42,1.61,0.89,0.22,0.27,0.15,0.05,0.06
99,"GRB120118B",2.943,22.4,1.85,1.97,7.008,2.04,0.36,0.37,8.2,4.08,1.15,1.17,7.061,2.55,0.59,0.6,73.32,6.05,6.45,24.74,5.76,5.86
100,"GRB120326A",1.798,53.1,5.87,6.44,3.688,5.34,0.48,0.48,3.952,7.13,1.01,1.01,4.047,6.3,0.69,0.69,64.35,7.12,7.82,21.22,2.34,2.31
101,"GRB120327A",2.813,91.4,7.52,9.02,37.328,8.84,1.24,1.31,35.976,13.4,2.27,2.35,38.306,9.82,1.48,1.54,190.7,15.69,18.83,80.06,12.03,12.55
102,"GRB120404A",2.876,34.6,4.56,6.02,3.536,1.65,0.34,0.38,0.792,3.65,1.22,1.28,3.887,2.34,0.61,0.66,103.1,13.59,17.93,21.13,5.52,5.95
103,"GRB120521C",6.0,25.7,4.82,6.48,0.064,3.69,0.53,0.63,0.576,5.07,1.22,1.31,0.192,3.97,0.62,0.73,194.5,36.45,49.02,187.4,29.15,34.23
104,"GRB120712A",4.1745,44.4,4.18,8.13,7.2,4.18,0.59,0.71,3.592,7.95,1.59,1.76,7.56,5.04,0.82,0.94,183.9,17.3,33.63,97.48,15.78,18.27
105,"GRB120722A",0.9586,20.3,3.97,5.1,3.0,1.45,0.41,0.47,22.248,5.73,1.74,1.96,22.229,3.32,1.2,1.31,10.26,2.0,2.57,3.28,1.19,1.3
106,"GRB120802A",3.796,33.0,4.17,4.39,7.88,4.33,0.59,0.59,8.112,6.15,1.22,1.22,7.97,4.86,0.75,0.76,131.0,16.57,17.43,95.61,14.8,14.87
107,"GRB120811C",2.671,36.2,1.67,1.86,5.304,3.19,0.4,0.33,5.768,4.74,0.83,0.76,5.929,3.8,0.54,0.47,93.31,4.32,4.81,31.15,4.44,3.86
