recno,ID,NumID,Time,z,f_z,r_z,Com,t0,T100,_RA,_DE
62,"GRB080810 ",319584,"13:10:12.288",3.3604,"s  ","  6", ,-14.016,120.256,356.78333,0.30975
63,"GRB080905B",323898,"16:55:45.405",2.3739,"s  ","  6", ,-7.48,111.872,301.74137,-62.563
64,"GRB080906 ",323984,"13:33:16.347",2.13,"p  "," 29", ,-117.888,235.008,228.055,-80.54
65,"GRB080913 ",324561,"06:46:54.122",6.7,"s  "," 30", ,-3.592,8.832,65.74125,-25.12739
66,"GRB080928 ",326115,"15:01:32.867",1.6919,"s  ","  6", ,56.808,268.352,95.07021,-55.19981
67,"GRB081008 ",331093,"19:58:09.385",1.9685,"s  "," 31", ,-65.16,207.104,279.96833,-57.433
68,"GRB081028A",332851,"00:25:00.791",3.038,"s  "," 32", ,44.656,300.608,121.89333,2.30467
69,"GRB081029 ",332931,"01:43:56.788",3.8479,"s  "," 33", ,-38.864,326.528,346.776,-68.179
70,"GRB081109A",334112,"07:02:06.615",0.9787,"s  "," 34", ,-18.096,95.488,330.79792,-54.71125
71,"GRB090113 ",339852,"18:40:39.171",1.7493,"s  "," 22", ,-0.16,10.112,32.06667,33.43567
72,"GRB090418A",349510,"11:07:40.227",1.608,"s  "," 35", ,-8.216,69.184,269.31321,33.40586
73,"GRB090426 ",350479,"12:48:47.213",2.609,"s  "," 36", ,-0.032,0.832,189.08121,32.98486
74,"GRB090429B",350854,"05:30:03.366",9.38,"p  "," 37", ,-3.064,6.0,210.66708,32.17072
75,"GRB090516A",352190,"08:27:50.774",4.109,"s  "," 38", ,-8.544,234.56,138.246,-11.848
76,"GRB090519 ",352648,"21:08:56.429",3.85,"s  "," 39", ,-12.432,86.976,142.3175,0.18997
77,"GRB090530 ",353567,"03:18:18.384",1.266,"s  "," 40", ,-0.224,41.6,179.4,26.58972
78,"GRB090726 ",358422,"22:42:27.759",2.71,"s  "," 41", ,-22.879,61.824,248.68125,72.86569
79,"GRB090814A",359951,"00:52:19.004",0.696,"s  "," 42",3,-15.2,61.248,239.61017,25.63122
80,"GRB090926B",370791,"21:55:48.416",1.24,"s  "," 43", ,-21.352,154.496,46.30958,-38.99747
