#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XXkeV: Photon flux in XX - XX keV, with unit of (number of photons)/cm^2/s.
## XX_XXkeV_low: The lower limit of photon flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of photon flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250331B   |   1299965    | 3.820540e-01 | N/A | N/A | 2.122690e-01 | 1.283970e-01 | 2.551770e-01 | 6.416420e-02 | 3.597370e-02 | 1.015520e-01 | 1.508290e-02 | N/A | N/A | 2.792480e-02 | 1.267770e-02 | 5.820730e-02 | 6.664900e-01 | 5.539010e-01 | 7.842350e-01 | 6.478150e-01 | 5.654790e-01 | 8.011590e-01 | 4.48 | -0.720000 | 3.760000 |  
GRB250330A   |   1299776    | 3.233820e-01 | 2.879140e-01 | 3.593380e-01 | 3.219660e-01 | 3.014530e-01 | 3.428870e-01 | 1.904050e-01 | 1.753630e-01 | 2.055470e-01 | 5.759750e-02 | 4.362140e-02 | 7.239830e-02 | 9.655310e-02 | 6.179110e-02 | 1.526800e-01 | 8.933510e-01 | 8.409170e-01 | 9.457780e-01 | 9.323060e-01 | 8.670780e-01 | 1.007410e+00 | 14.5 | -0.164000 | 14.332000 |  
GRB250327A   |   1299088    | 2.390690e-01 | 2.042870e-01 | 2.760370e-01 | 2.732530e-01 | 2.485940e-01 | 2.977010e-01 | 2.238250e-01 | 2.081890e-01 | 2.393430e-01 | 1.114670e-01 | 1.041730e-01 | 1.242220e-01 | 3.052350e-01 | 2.852640e-01 | 3.545780e-01 | 8.476070e-01 | 7.830710e-01 | 9.127560e-01 | 1.084110e+00 | 9.334510e-01 | 1.109750e+00 | 108.3 | 1.672000 | 109.928000 |  
GRB250322A   |   1297832    | 2.694590e-01 | 1.800810e-01 | 3.680910e-01 | 5.535840e-01 | 4.639470e-01 | 6.449300e-01 | 7.368800e-01 | 6.398230e-01 | 8.354360e-01 | 4.254530e-01 | 3.140220e-01 | 5.293700e-01 | 9.458810e-01 | 4.926890e-01 | 1.731610e+00 | 1.985380e+00 | 1.761130e+00 | 2.209740e+00 | 2.505750e+00 | 2.007990e+00 | 3.453140e+00 | 0.672 | 0.000000 | 0.672000 |  
GRB250321A   |   1297508    | 3.780650e-01 | 2.814840e-01 | 4.791800e-01 | 4.476920e-01 | 3.857600e-01 | 5.121650e-01 | 2.930330e-01 | 2.472700e-01 | 3.400910e-01 | 8.395040e-02 | 4.909240e-02 | 1.210110e-01 | 1.275900e-01 | 6.004710e-02 | 2.651510e-01 | 1.202740e+00 | 1.051140e+00 | 1.354640e+00 | 1.246380e+00 | 1.076640e+00 | 1.437120e+00 | 7.488 | -0.136000 | 7.352000 |  
GRB250312A   |   1294765    | 4.343400e-02 | 3.519350e-02 | 5.167340e-02 | 3.726700e-02 | 3.266550e-02 | 4.244540e-02 | 2.083750e-02 | 1.693440e-02 | 2.481510e-02 | 7.118230e-03 | 3.821990e-03 | 9.954880e-03 | 1.440010e-02 | 5.226620e-03 | 2.272830e-02 | 1.086570e-01 | 9.603380e-02 | 1.212580e-01 | 1.159350e-01 | 9.937060e-02 | 1.323130e-01 | 232.2 | -0.916000 | 231.332000 |  
GRB250306A   |   1293340    | 1.436550e+00 | 1.299400e+00 | 1.577630e+00 | 1.825430e+00 | 1.750100e+00 | 1.901000e+00 | 1.471820e+00 | 1.407590e+00 | 1.536640e+00 | 5.994470e-01 | 5.514950e-01 | 6.468390e-01 | 1.174120e+00 | 9.772210e-01 | 1.420870e+00 | 5.333240e+00 | 5.130210e+00 | 5.537040e+00 | 5.907910e+00 | 5.608840e+00 | 6.237760e+00 | 20.54 | -1.504000 | 19.040000 |  
GRB250225B   |   1291459    | 2.564030e-01 | 2.451820e-01 | 2.737800e-01 | 2.431730e-01 | 2.348290e-01 | 2.533690e-01 | 1.605280e-01 | 1.539700e-01 | 1.678980e-01 | 6.740080e-02 | 6.035780e-02 | 7.215380e-02 | 1.650490e-01 | 1.257570e-01 | 1.800200e-01 | 7.275210e-01 | 6.997500e-01 | 7.548750e-01 | 8.255360e-01 | 7.740900e-01 | 8.524360e-01 | 121.9 | -0.024000 | 121.832000 |  
GRB250221A   |   1290305    | 7.397200e-01 | 5.227800e-01 | 9.169940e-01 | 8.147430e-01 | 6.882650e-01 | 9.511750e-01 | 6.115810e-01 | 5.055270e-01 | 7.273450e-01 | 2.671440e-01 | 1.661600e-01 | 3.523270e-01 | 6.206380e-01 | 2.451280e-01 | 8.306330e-01 | 2.433190e+00 | 2.090890e+00 | 2.766270e+00 | 2.786670e+00 | 2.243170e+00 | 3.278870e+00 | 2.064 | -0.220000 | 1.844000 |  
GRB250207A   |   1287821    | 1.672360e-01 | 1.537800e-01 | 1.811290e-01 | 1.960680e-01 | 1.866110e-01 | 2.054650e-01 | 1.653950e-01 | 1.586190e-01 | 1.721350e-01 | 8.432550e-02 | 7.939530e-02 | 9.008750e-02 | 2.347610e-01 | 2.261230e-01 | 2.569560e-01 | 6.130410e-01 | 5.997440e-01 | 6.379820e-01 | 7.634660e-01 | 7.353730e-01 | 7.916190e-01 | 70.02 | -6.724000 | 63.300000 |  
GRB250129A   |   1285812    | 1.084290e-01 | 1.009350e-01 | 1.160920e-01 | 7.540360e-02 | 6.936020e-02 | 7.885320e-02 | 3.407360e-02 | N/A | N/A | 1.011950e-02 | N/A | N/A | 2.066870e-02 | N/A | N/A | 2.277870e-01 | 2.177680e-01 | 2.382150e-01 | 2.363780e-01 | 2.273590e-01 | 2.531760e-01 | 365.2 | -62.544000 | 302.624000 |  
