#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy flux in XX - XX keV, with unit of erg/cm^2/s.
## XX_XXkeV_low: The lower limit of energy flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0. 
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250331B   |   1299965    | 1.162787e-08 | 9.293943e-09 | 1.398395e-08 | 1.097009e-08 | 8.647290e-09 | 1.321022e-08 | 7.192337e-09 | 4.427820e-09 | 1.034213e-08 | 2.996194e-09 | 1.469231e-09 | 5.164520e-09 | 7.308698e-09 | 3.133935e-09 | 1.428433e-08 | 3.278536e-08 | 2.577567e-08 | 4.018001e-08 | 3.709625e-08 | 2.775876e-08 | 4.844400e-08 | 4.48 | -0.720000 | 3.760000 |  
GRB250330A   |   1299776    | 1.072136e-08 | 9.805506e-09 | 1.165789e-08 | 1.725838e-08 | 1.632751e-08 | 1.818863e-08 | 2.099520e-08 | 1.937002e-08 | 2.262507e-08 | 1.432947e-08 | 1.264445e-08 | 1.610794e-08 | 5.014412e-08 | 4.247760e-08 | 5.869080e-08 | 6.330383e-08 | 5.949083e-08 | 6.714598e-08 | 9.911970e-08 | 8.993733e-08 | 1.089933e-07 | 14.5 | -0.164000 | 14.332000 |  
GRB250327A   |   1299088    | 7.461223e-09 | 6.394992e-09 | 8.592509e-09 | 1.560810e-08 | 1.425247e-08 | 1.695196e-08 | 2.555877e-08 | 2.373122e-08 | 2.737600e-08 | 2.195381e-08 | 1.949216e-08 | 2.449796e-08 | 9.443218e-08 | 7.941271e-08 | 1.113602e-07 | 7.058136e-08 | 6.588097e-08 | 7.528873e-08 | 1.430606e-07 | 1.273063e-07 | 1.603024e-07 | 108.3 | 1.672000 | 109.928000 |  
GRB250322A   |   1297832    | 1.009021e-08 | 7.752468e-09 | 1.262874e-08 | 3.134657e-08 | 2.671530e-08 | 3.590459e-08 | 7.983623e-08 | 7.112790e-08 | 8.851156e-08 | 9.566873e-08 | 8.057494e-08 | 1.114628e-07 | 5.806842e-07 | 4.475587e-07 | 7.425744e-07 | 2.169452e-07 | 1.925972e-07 | 2.413848e-07 | 7.019562e-07 | 5.645469e-07 | 8.654859e-07 | 0.672 | 0.000000 | 0.672000 |  
GRB250321A   |   1297508    | 1.353630e-08 | 1.103240e-08 | 1.615772e-08 | 2.329003e-08 | 2.044937e-08 | 2.611139e-08 | 3.056680e-08 | 2.601477e-08 | 3.508084e-08 | 2.213350e-08 | 1.734563e-08 | 2.729669e-08 | 8.148168e-08 | 5.899022e-08 | 1.086701e-07 | 8.952617e-08 | 7.835740e-08 | 1.007535e-07 | 1.488710e-07 | 1.219551e-07 | 1.792751e-07 | 7.488 | -0.136000 | 7.352000 |  
GRB250312A   |   1294765    | 1.359033e-09 | 1.136816e-09 | 1.587888e-09 | 2.052438e-09 | 1.821462e-09 | 2.283232e-09 | 2.321133e-09 | 1.880096e-09 | 2.767515e-09 | 1.496098e-09 | 1.085900e-09 | 1.964446e-09 | 4.992867e-09 | 3.307958e-09 | 7.165063e-09 | 7.228697e-09 | 6.222860e-09 | 8.257717e-09 | 1.072531e-08 | 8.543779e-09 | 1.330148e-08 | 232.2 | -0.916000 | 231.332000 |  
GRB250306A   |   1293340    | 5.123067e-08 | 4.802971e-08 | 5.450797e-08 | 1.018779e-07 | 9.798735e-08 | 1.057572e-07 | 1.575615e-07 | 1.518343e-07 | 1.632714e-07 | 1.295299e-07 | 1.222785e-07 | 1.368989e-07 | 5.346259e-07 | 4.926971e-07 | 5.787353e-07 | 4.402000e-07 | 4.256376e-07 | 4.547786e-07 | 8.452983e-07 | 8.000921e-07 | 8.921749e-07 | 20.54 | -1.504000 | 19.040000 |  
GRB250225B   |   1291459    | 7.932864e-09 | 7.411908e-09 | 8.466424e-09 | 1.372271e-08 | 1.319471e-08 | 1.424853e-08 | 1.812049e-08 | 1.734283e-08 | 1.889601e-08 | 1.318378e-08 | 1.227892e-08 | 1.411400e-08 | 4.873489e-08 | 4.416213e-08 | 5.363027e-08 | 5.296025e-08 | 5.107990e-08 | 5.484411e-08 | 8.851156e-08 | 8.346415e-08 | 9.380155e-08 | 121.9 | -0.024000 | 121.832000 |  
GRB250221A   |   1290305    | 2.365647e-08 | 1.830754e-08 | 2.933526e-08 | 4.570566e-08 | 3.915976e-08 | 5.215669e-08 | 6.841952e-08 | 5.688136e-08 | 7.978293e-08 | 5.485295e-08 | 4.122589e-08 | 6.976539e-08 | 2.211974e-07 | 1.502069e-07 | 3.114727e-07 | 1.926327e-07 | 1.645660e-07 | 2.209174e-07 | 3.589798e-07 | 2.780481e-07 | 4.555122e-07 | 2.064 | -0.220000 | 1.844000 |  
GRB250207A   |   1287821    | 5.223601e-09 | 4.811051e-09 | 5.649110e-09 | 1.121760e-08 | 1.069670e-08 | 1.173573e-08 | 1.891995e-08 | 1.812174e-08 | 1.971469e-08 | 1.662226e-08 | 1.549923e-08 | 1.777133e-08 | 7.306510e-08 | 6.598725e-08 | 8.066776e-08 | 5.198404e-08 | 4.996317e-08 | 5.400699e-08 | 1.084251e-07 | 1.009904e-07 | 1.162974e-07 | 70.02 | -6.724000 | 63.300000 |  
GRB250129A   |   1285812    | 3.317646e-09 | 3.093357e-09 | 3.546745e-09 | 4.141999e-09 | 3.968076e-09 | 4.316085e-09 | 3.763050e-09 | 3.490117e-09 | 4.038499e-09 | 2.039436e-09 | 1.809923e-09 | 2.283074e-09 | 5.949220e-09 | 5.103170e-09 | 6.889536e-09 | 1.326203e-08 | 1.264940e-08 | 1.387906e-08 | 1.717197e-08 | 1.605277e-08 | 1.835608e-08 | 365.2 | -62.544000 | 302.624000 |  
GRB250128B   |   1285677    | 1.208843e-08 | 8.828156e-09 | 1.562608e-08 | 2.506802e-08 | 2.082284e-08 | 2.922066e-08 | 4.064808e-08 | 3.285489e-08 | 4.826252e-08 | 3.465134e-08 | 2.482619e-08 | 4.548938e-08 | 1.479858e-07 | 9.363538e-08 | 2.200797e-07 | 1.124553e-07 | 9.340282e-08 | 1.316801e-07 | 2.257928e-07 | 1.649871e-07 | 3.013700e-07 | 0.584 | -0.020000 | 0.564000 |  
GRB250114A   |   1281241    | 2.152782e-09 | 1.934060e-09 | 2.376402e-09 | 3.353822e-09 | 3.123489e-09 | 3.584347e-09 | 3.930520e-09 | 3.542093e-09 | 4.320261e-09 | 2.605254e-09 | 2.226025e-09 | 3.008708e-09 | 8.896722e-09 | 7.247697e-09 | 1.076911e-08 | 1.204232e-08 | 1.111399e-08 | 1.297866e-08 | 1.833369e-08 | 1.627159e-08 | 2.056175e-08 | 314.5 | -8.528000 | 305.988000 |  
GRB250108B   |   1280056    | 9.225289e-10 | 7.684047e-10 | 1.082256e-09 | 1.571557e-09 | 1.408154e-09 | 1.734243e-09 | 2.039389e-09 | 1.733245e-09 | 2.343959e-09 | 1.463760e-09 | 1.136292e-09 | 1.825408e-09 | 5.347490e-09 | 3.821466e-09 | 7.243526e-09 | 5.997220e-09 | 5.286035e-09 | 6.717072e-09 | 9.880752e-09 | 8.067148e-09 | 1.198975e-08 | 281.3 | -63.136000 | 218.208000 |  
GRB250103B   |   1278865    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |  
