#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy fluence in XX - XX keV, with unit of erg/cm^2.
## XX_XXkeV_low: The lower limit of energy fluence in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy fluence in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250330A   |   1299776    | 1.137522e-09 | 6.528298e-10 | 1.611907e-09 | 2.129316e-09 | 1.543263e-09 | 2.857328e-09 | 2.858116e-09 | 1.899940e-09 | 4.039430e-09 | 1.918669e-09 | 2.224180e-10 | 3.604292e-09 | 5.672180e-09 | 2.468994e-10 | 2.640706e-08 | 8.043592e-09 | 5.040690e-09 | 1.096175e-08 | 1.179750e-08 | 5.125072e-09 | 1.650403e-08 | 0.02 | 0.632000 | 0.652000 |  
GRB250327A   |   1299088    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |  
GRB250322A   |   1297832    | 7.412590e-10 | 2.891412e-10 | 1.065737e-09 | 3.001096e-09 | 2.091702e-09 | 3.884276e-09 | 9.810926e-09 | 7.678210e-09 | 1.243942e-08 | 1.468284e-08 | 7.816638e-09 | 1.737761e-08 | 8.721276e-08 | N/A | N/A | 2.706262e-08 | 2.088334e-08 | 3.261144e-08 | 9.627644e-08 | 2.905494e-08 | 1.412538e-07 | 0.02 | 0.000000 | 0.020000 |  
GRB250321A   |   1297508    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.02 | 0.384000 | 0.404000 |  
GRB250312A   |   1294765    | 4.268252e-10 | 5.245900e-11 | 8.874012e-10 | 1.197954e-09 | 5.984116e-10 | 2.239236e-09 | 2.732184e-09 | 1.430902e-09 | 4.769688e-09 | 3.024126e-09 | 5.111284e-10 | 4.822808e-09 | 1.668822e-08 | 1.033784e-14 | 1.504111e-08 | 7.381762e-09 | 3.863136e-09 | 1.093176e-08 | 2.051068e-08 | 4.252948e-09 | 2.000000e-02 | 0.02 | 1.640000 | 1.660000 |  
GRB250306A   |   1293340    | 6.736434e-09 | 3.654180e-09 | 1.000553e-08 | 1.985180e-08 | 1.416348e-08 | 2.629542e-08 | 3.521194e-08 | 2.437138e-08 | 4.673584e-08 | 2.219270e-08 | 6.565080e-09 | 3.779810e-08 | 4.503498e-08 | 7.555096e-09 | 1.604686e-07 | 8.399240e-08 | 5.993630e-08 | 1.075425e-07 | 1.068366e-07 | 6.244964e-08 | 2.207038e-07 | 0.02 | 0.816000 | 0.836000 |  
GRB250225B   |   1291459    | 5.024120e-10 | 6.116880e-14 | 1.581066e-09 | 6.791568e-10 | 3.369224e-17 | 9.923846e-10 | 7.108696e-10 | 2.325574e-15 | 1.411985e-09 | 4.604156e-10 | N/A | N/A | 1.738241e-09 | N/A | N/A | 2.353314e-09 | 7.360884e-15 | 7.706018e-09 | 4.398656e-09 | N/A | N/A | 0.02 | 1.832000 | 1.852000 |  
GRB250221A   |   1290305    | 7.176456e-10 | 2.368482e-10 | 1.706082e-09 | 5.468648e-09 | 2.041596e-09 | 7.715250e-09 | 1.037696e-09 | 2.054328e-10 | 2.298740e-09 | 1.806467e-13 | 2.721010e-15 | 1.317104e-10 | 1.806467e-13 | 2.664588e-15 | 1.401555e-10 | 7.046444e-09 | 3.749126e-09 | 1.027945e-08 | 7.046444e-09 | 3.748780e-09 | 1.027969e-08 | 0.02 | 0.868000 | 0.888000 |  
GRB250207A   |   1287821    | 5.564422e-10 | 1.220281e-10 | 1.016085e-09 | 1.701884e-09 | 9.072772e-10 | 2.810670e-09 | 3.574292e-09 | 2.046068e-09 | 5.296268e-09 | 3.005454e-09 | 1.089783e-10 | 4.757294e-09 | 8.753062e-09 | 1.100855e-10 | 4.064994e-08 | 8.837512e-09 | 4.449386e-09 | 1.279352e-08 | 1.437209e-08 | 4.462312e-09 | 4.629456e-08 | 0.02 | 7.328000 | 7.348000 |  
GRB250129A   |   1285812    | 5.605444e-10 | 1.484944e-10 | 1.007488e-09 | 1.740444e-09 | 9.790390e-10 | 2.550528e-09 | 5.432504e-10 | 9.510864e-11 | 1.345984e-09 | 4.164856e-12 | 1.488435e-15 | 3.939580e-10 | 4.175418e-12 | 1.489121e-15 | 6.089758e-10 | 2.848394e-09 | 2.281444e-09 | 3.996318e-09 | 2.847934e-09 | 2.281288e-09 | 3.997698e-09 | 0.02 | 198.556000 | 198.576000 |  
