#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## alpha: "alpha" in the cutoff power-law model (equation below).
## alpha_low: The lower limit of "alpha" (90% confidence region).
## alpha_hi: The upper limit of "alpha" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## Epeak: "Epeak" in the cutoff power-law model (equation below).
## Epeak_low: The lower limit of "Epeak" (90% confidence region).
## Epeak_hi: The upper limit of "Epeak" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## norm_low: The lower limit of "norm" (90% confidence region). 
## norm_hi: The upper limit of "norm" (90% confidence region).
## chi2: chi^2 from the fitting, reported by XSPEC.
## reduced_chi2: reduced chi^2 reported by XSPEC.
## null_prob: The null probability of the model, reported by XSPEC.
## enrom: The normalization energy in the cutoff power-law model (eaution below). "enorm" is set to 50 keV in all analyses.
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## Note -- Cutoff power-law (CPL) equation: f = norm*((E/enorm)^{alpha})*(exp(-E(2+alpha)/Epeak))
#####################################################################################
#####################################################################################
GRB250306A   |   1293340    | -1.159300e+00 | -1.508840e+00 | -8.172660e-01 | 4.136760e-01 | 3.159070e-01 | 5.111710e-01 | 13.41 | 8 | 1.67625 | 9.84e-02 | 50.0000 | 0.02 | 0.816000 | 0.836000 |  
GRB250225B   |   1291459    | -6.305630e-01 | -1.097600e+00 | -8.659610e-02 | 1.159440e-01 | 8.405680e-02 | 1.456840e-01 | 11.56 | 8 | 1.445 | 1.72e-01 | 50.0000 | 0.02 | 1.832000 | 1.852000 |  
GRB250221A   |   1290305    | -2.744420e+00 | -3.840570e+00 | -1.821760e+00 | 1.164320e-02 | 0.000000e+00 | 1.963240e-02 | 9.42 | 8 | 1.1775 | 3.08e-01 | 50.0000 | 0.02 | 0.868000 | 0.888000 |  
GRB250207A   |   1287821    | -8.966660e-01 | -1.481520e+00 | -2.174800e-01 | 4.081420e-02 | 2.574110e-02 | 5.570620e-02 | 12.11 | 8 | 1.51375 | 1.46e-01 | 50.0000 | 0.02 | 7.328000 | 7.348000 |  
GRB250129A   |   1285812    | -1.994330e+00 | -2.684510e+00 | -1.429300e+00 | 1.780650e-02 | 9.003760e-03 | 2.631350e-02 | 8.76 | 8 | 1.095 | 3.63e-01 | 50.0000 | 0.02 | 198.556000 | 198.576000 |  
GRB250128B   |   1285677    | -8.271350e-01 | -1.298630e+00 | -3.089860e-01 | 5.193210e-02 | 3.799600e-02 | 6.566650e-02 | 10.13 | 8 | 1.26625 | 2.56e-01 | 50.0000 | 0.02 | 0.004000 | 0.024000 |  
GRB250114A   |   1281241    | -1.500000e+00 | N/A | N/A | 0.000000e+00 | N/A | N/A | 17.39 | 8 | 2.17375 | 2.63e-02 | 50.0000 | 0.02 | 37.828000 | 37.848000 |  
GRB250108B   |   1280056    | -1.856870e+00 | -2.448170e+00 | -1.348090e+00 | 1.673440e-02 | 9.549950e-03 | 2.356930e-02 | 3.96 | 8 | 0.495 | 8.60e-01 | 50.0000 | 0.02 | 47.168000 | 47.188000 |  
GRB250103B   |   1278865    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |  
GRB250101A   |   1278305    | -1.734380e+00 | -2.758560e+00 | -9.583310e-01 | 2.396510e-02 | 0.000000e+00 | 3.647540e-02 | 2.36 | 8 | 0.295 | 9.68e-01 | 50.0000 | 0.02 | 1.504000 | 1.524000 |  
GRB241229B   |   1277428    | -1.892210e+00 | N/A | N/A | 4.147680e-02 | N/A | N/A | 18.47 | 8 | 2.30875 | 1.80e-02 | 50.0000 | 0.02 | 0.364000 | 0.384000 |  
GRB241228A   |   1277277    | -9.930960e-01 | -1.273660e+00 | -7.010060e-01 | 1.904010e-01 | 1.548230e-01 | 2.259340e-01 | 6.19 | 8 | 0.77375 | 6.26e-01 | 50.0000 | 0.02 | 0.096000 | 0.116000 |  
GRB241218A   |   1275005    | -8.726150e-01 | -1.564460e+00 | -1.157330e-01 | 2.433870e-02 | 1.384830e-02 | 3.482710e-02 | 8.46 | 8 | 1.0575 | 3.90e-01 | 50.0000 | 0.02 | 5.420000 | 5.440000 |  
GRB241213A   |   1274039    | -6.541100e-01 | -1.031560e+00 | -2.460080e-01 | 1.165730e-01 | 8.664530e-02 | 1.458950e-01 | 14.30 | 8 | 1.7875 | 7.42e-02 | 50.0000 | 0.02 | 0.472000 | 0.492000 |  
GRB241209D   |   1273106    | -2.585520e-01 | -8.889020e-01 | 6.309150e-01 | 3.250920e-02 | 2.479330e-04 | 3.276120e-03 | 12.64 | 8 | 1.58 | 1.25e-01 | 50.0000 | 0.02 | 0.172000 | 0.192000 |  
GRB241209A   |   1273071    | -7.073570e-01 | -1.309330e+00 | -2.989750e-02 | 3.078610e-02 | 1.672130e-02 | 4.425150e-02 | 5.40 | 8 | 0.675 | 7.14e-01 | 50.0000 | 0.02 | 0.044000 | 0.064000 |  
GRB241128A   |   1270999    | -9.804760e-01 | -3.987430e+00 | 2.902430e-01 | 1.562790e-02 | 0.000000e+00 | 2.544550e-02 | 7.69 | 8 | 0.96125 | 4.65e-01 | 50.0000 | 0.02 | 5.424000 | 5.444000 |  
GRB241127A   |   1270788    | -1.589340e+00 | -2.591460e+00 | -7.876100e-01 | 3.760220e-02 | 1.761940e-02 | 5.279300e-02 | 4.62 | 8 | 0.5775 | 7.97e-01 | 50.0000 | 0.02 | 0.408000 | 0.428000 |  
GRB241115A   |   1267921    | -1.639410e+00 | -2.006230e+00 | -1.292620e+00 | 5.827410e-02 | 4.344350e-02 | 7.279970e-02 | 3.57 | 8 | 0.44625 | 8.94e-01 | 50.0000 | 0.02 | 1.260000 | 1.280000 |  
GRB241113A   |   1267501    | -1.388300e+00 | -2.227450e+00 | -6.766090e-01 | 1.742340e-02 | 8.487960e-03 | 2.574160e-02 | 11.09 | 8 | 1.38625 | 1.97e-01 | 50.0000 | 0.02 | 0.264000 | 0.284000 |  
GRB241030B   |   1263840    | -3.780410e-01 | -1.078430e+00 | 5.537400e-01 | 7.484290e-02 | 0.000000e+00 | 1.130890e-01 | 4.47 | 8 | 0.55875 | 8.13e-01 | 50.0000 | 0.02 | 1.568000 | 1.588000 |  
