#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy flux in XX - XX keV, with unit of erg/cm^2/s.
## XX_XXkeV_low: The lower limit of energy flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0. 
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250330A   |   1299776    | 5.687612e-08 | 3.264149e-08 | 8.059535e-08 | 1.064658e-07 | 7.716316e-08 | 1.428664e-07 | 1.429058e-07 | 9.499702e-08 | 2.019715e-07 | 9.593344e-08 | 1.112090e-08 | 1.802146e-07 | 2.836090e-07 | 1.234497e-08 | 1.320353e-06 | 4.021796e-07 | 2.520345e-07 | 5.480876e-07 | 5.898750e-07 | 2.562536e-07 | 8.252015e-07 | 0.02 | 0.632000 | 0.652000 |  
GRB250327A   |   1299088    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |  
GRB250322A   |   1297832    | 3.706295e-08 | 1.445706e-08 | 5.328684e-08 | 1.500548e-07 | 1.045851e-07 | 1.942138e-07 | 4.905463e-07 | 3.839105e-07 | 6.219708e-07 | 7.341419e-07 | 3.908319e-07 | 8.688804e-07 | 4.360638e-06 | N/A | N/A | 1.353131e-06 | 1.044167e-06 | 1.630572e-06 | 4.813822e-06 | 1.452747e-06 | 7.062688e-06 | 0.02 | 0.000000 | 0.020000 |  
GRB250321A   |   1297508    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.02 | 0.384000 | 0.404000 |  
GRB250312A   |   1294765    | 2.134126e-08 | 2.622950e-09 | 4.437006e-08 | 5.989768e-08 | 2.992058e-08 | 1.119618e-07 | 1.366092e-07 | 7.154512e-08 | 2.384844e-07 | 1.512063e-07 | 2.555642e-08 | 2.411404e-07 | 8.344110e-07 | 5.168922e-13 | 7.520557e-07 | 3.690881e-07 | 1.931568e-07 | 5.465879e-07 | 1.025534e-06 | 2.126474e-07 | 1.000000e+00 | 0.02 | 1.640000 | 1.660000 |  
GRB250306A   |   1293340    | 3.368217e-07 | 1.827090e-07 | 5.002764e-07 | 9.925902e-07 | 7.081740e-07 | 1.314771e-06 | 1.760597e-06 | 1.218569e-06 | 2.336792e-06 | 1.109635e-06 | 3.282540e-07 | 1.889905e-06 | 2.251749e-06 | 3.777548e-07 | 8.023429e-06 | 4.199620e-06 | 2.996815e-06 | 5.377123e-06 | 5.341829e-06 | 3.122482e-06 | 1.103519e-05 | 0.02 | 0.816000 | 0.836000 |  
GRB250225B   |   1291459    | 2.512060e-08 | 3.058440e-12 | 7.905330e-08 | 3.395784e-08 | 1.684612e-15 | 4.961923e-08 | 3.554348e-08 | 1.162787e-13 | 7.059924e-08 | 2.302078e-08 | N/A | N/A | 8.691205e-08 | N/A | N/A | 1.176657e-07 | 3.680442e-13 | 3.853009e-07 | 2.199328e-07 | N/A | N/A | 0.02 | 1.832000 | 1.852000 |  
GRB250221A   |   1290305    | 3.588228e-08 | 1.184241e-08 | 8.530412e-08 | 2.734324e-07 | 1.020798e-07 | 3.857625e-07 | 5.188478e-08 | 1.027164e-08 | 1.149370e-07 | 9.032334e-12 | 1.360505e-13 | 6.585519e-09 | 9.032334e-12 | 1.332294e-13 | 7.007773e-09 | 3.523222e-07 | 1.874563e-07 | 5.139726e-07 | 3.523222e-07 | 1.874390e-07 | 5.139845e-07 | 0.02 | 0.868000 | 0.888000 |  
GRB250207A   |   1287821    | 2.782211e-08 | 6.101407e-09 | 5.080424e-08 | 8.509421e-08 | 4.536386e-08 | 1.405335e-07 | 1.787146e-07 | 1.023034e-07 | 2.648134e-07 | 1.502727e-07 | 5.448915e-09 | 2.378647e-07 | 4.376531e-07 | 5.504273e-09 | 2.032497e-06 | 4.418756e-07 | 2.224693e-07 | 6.396759e-07 | 7.186046e-07 | 2.231156e-07 | 2.314728e-06 | 0.02 | 7.328000 | 7.348000 |  
GRB250129A   |   1285812    | 2.802722e-08 | 7.424719e-09 | 5.037441e-08 | 8.702219e-08 | 4.895195e-08 | 1.275264e-07 | 2.716252e-08 | 4.755432e-09 | 6.729922e-08 | 2.082428e-10 | 7.442177e-14 | 1.969790e-08 | 2.087709e-10 | 7.445605e-14 | 3.044879e-08 | 1.424197e-07 | 1.140722e-07 | 1.998159e-07 | 1.423967e-07 | 1.140644e-07 | 1.998849e-07 | 0.02 | 198.556000 | 198.576000 |  
