## GRBname | Trig_ID | alpha | alpha_low | alpha_hi | Epeak | Epeak_low | Epeak_hi | norm | norm_low | norm_hi | chi2 | dof | reduced_chi2 | enorm | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250225B   |   1291459    | -6.272510e-01 | -1.093310e+00 | 1.346000e-01 | 9.999200e+03 | 0.000000e+00 | 0.000000e+00 | 1.169960e-01 | 8.844360e-02 | 3.742230e-01 | 11.57 | 7 | 1.445 | 1.15e-01 | 50.0000 | 0.02 | 1.832000 | 1.852000 |  
GRB250221A   |   1290305    | 9.048200e+00 | 4.670150e-01 | -0.000000e+00 | 3.823600e+01 | 3.168340e+01 | 4.462900e+01 | 1.390130e+05 | 0.000000e+00 | 3.795740e+06 | 3.00 | 7 | 1.1775 | 8.85e-01 | 50.0000 | 0.02 | 0.868000 | 0.888000 |  
GRB250207A   |   1287821    | -3.912740e-01 | -0.000000e+00 | 5.591790e+00 | 1.616110e+02 | 0.000000e+00 | 0.000000e+00 | 7.437260e-02 | 2.684340e-02 | 6.144100e+01 | 12.01 | 7 | 1.51375 | 1.00e-01 | 50.0000 | 0.02 | 7.328000 | 7.348000 |  
GRB250129A   |   1285812    | 2.729190e+00 | -1.402000e+00 | -0.000000e+00 | 3.694840e+01 | 2.786240e+01 | 4.652550e+01 | 1.540850e+01 | 0.000000e+00 | 4.366750e+05 | 5.00 | 7 | 1.095 | 6.60e-01 | 50.0000 | 0.02 | 198.556000 | 198.576000 |  
GRB250128B   |   1285677    | -6.924290e-01 | -7.268810e+00 | 9.075570e-01 | 5.598160e+02 | N/A | N/A | 5.961730e-02 | N/A | N/A | 10.16 | 7 | 1.26625 | 1.80e-01 | 50.0000 | 0.02 | 0.004000 | 0.024000 |  
GRB250114A   |   1281241    | -1.000000e+00 | N/A | N/A | 8.000000e+01 | N/A | N/A | 0.000000e+00 | N/A | N/A | 17.39 | 7 | 2.17375 | 1.51e-02 | 50.0000 | 0.02 | 37.828000 | 37.848000 |  
GRB250108B   |   1280056    | -1.590090e-01 | -2.166280e+00 | 3.905920e+00 | 4.804760e+01 | 4.694630e+00 | 0.000000e+00 | 1.590630e-01 | 0.000000e+00 | 4.111860e+01 | 2.27 | 7 | 0.495 | 9.43e-01 | 50.0000 | 0.02 | 47.168000 | 47.188000 |  
GRB250103B   |   1278865    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 50.0000 | N/A | N/A | N/A |  
GRB250101A   |   1278305    | -1.397400e+00 | -2.314110e+00 | 4.156300e+00 | 8.883730e+01 | 0.000000e+00 | 0.000000e+00 | 3.594800e-02 | 0.000000e+00 | 1.018670e+01 | 2.30 | 7 | 0.295 | 9.41e-01 | 50.0000 | 0.02 | 1.504000 | 1.524000 |  
GRB241229B   |   1277428    | 1.929620e+00 | -5.247790e-01 | -0.000000e+00 | 6.357000e+01 | 4.651550e+01 | 7.787020e+01 | 2.144650e+00 | 0.000000e+00 | 8.721650e+02 | 10.01 | 7 | 2.30875 | 1.88e-01 | 50.0000 | 0.02 | 0.364000 | 0.384000 |  
GRB241228A   |   1277277    | -5.964830e-01 | -1.232800e+00 | 6.021690e-01 | 1.902500e+02 | 0.000000e+00 | 0.000000e+00 | 2.998540e-01 | 1.594850e-01 | 1.120620e+00 | 5.72 | 7 | 0.77375 | 5.73e-01 | 50.0000 | 0.02 | 0.096000 | 0.116000 |  
GRB241218A   |   1275005    | 1.299160e-02 | -7.431900e+00 | 3.924900e+00 | 1.185030e+02 | 0.000000e+00 | 0.000000e+00 | 6.888230e-02 | 0.000000e+00 | 1.633310e+02 | 8.30 | 7 | 1.0575 | 3.07e-01 | 50.0000 | 0.02 | 5.420000 | 5.440000 |  
GRB241213A   |   1274039    | 7.284860e-01 | -8.058520e-01 | 4.108090e+00 | 1.309230e+02 | 8.378690e+01 | 0.000000e+00 | 3.913450e-01 | 0.000000e+00 | 3.730320e+00 | 12.48 | 7 | 1.7875 | 8.58e-02 | 50.0000 | 0.02 | 0.472000 | 0.492000 |  
GRB241209D   |   1273106    | -5.498220e-02 | -8.794610e-01 | 4.309950e+00 | 6.377780e+02 | 0.000000e+00 | 0.000000e+00 | 3.882000e-02 | 1.717090e-02 | 4.017640e-01 | 12.61 | 7 | 1.58 | 8.23e-02 | 50.0000 | 0.02 | 0.172000 | 0.192000 |  
GRB241209A   |   1273071    | 4.000810e+00 | -1.926420e+00 | -0.000000e+00 | 9.621400e+01 | 7.231860e+01 | 3.683590e+02 | 8.497390e-01 | 0.000000e+00 | 5.635700e+01 | 2.42 | 7 | 0.675 | 9.33e-01 | 50.0000 | 0.02 | 0.044000 | 0.064000 |  
GRB241128A   |   1270999    | -9.180320e-01 | -0.000000e+00 | 4.671030e+00 | 5.475910e+03 | N/A | N/A | 1.594350e-02 | N/A | N/A | 7.69 | 7 | 0.96125 | 3.61e-01 | 50.0000 | 0.02 | 5.424000 | 5.444000 |  
GRB241127A   |   1270788    | -1.684530e+00 | -4.466810e+00 | -1.931960e+00 | 9.999360e+03 | 3.784300e+02 | 6.612710e+02 | 3.622600e-02 | 0.000000e+00 | 2.132480e-02 | 4.66 | 7 | 0.5775 | 7.01e-01 | 50.0000 | 0.02 | 0.408000 | 0.428000 |  
GRB241115A   |   1267921    | -6.991560e-01 | -2.077300e+00 | 1.539520e+00 | 6.704220e+01 | 4.568610e+01 | 0.000000e+00 | 1.866020e-01 | 0.000000e+00 | 2.870010e+00 | 2.34 | 7 | 0.44625 | 9.39e-01 | 50.0000 | 0.02 | 1.260000 | 1.280000 |  
GRB241113A   |   1267501    | -3.934220e-01 | -2.294120e+00 | 8.077090e+00 | 8.383190e+01 | 0.000000e+00 | 0.000000e+00 | 5.422550e-02 | 0.000000e+00 | 1.845130e+01 | 10.59 | 7 | 1.38625 | 1.58e-01 | 50.0000 | 0.02 | 0.264000 | 0.284000 |  
GRB241030B   |   1263840    | 1.365260e+00 | -8.305410e+00 | -0.000000e+00 | 1.243000e+02 | 0.000000e+00 | 9.996510e+03 | 3.744970e-01 | 0.000000e+00 | 1.272340e+03 | 3.54 | 7 | 0.55875 | 8.31e-01 | 50.0000 | 0.02 | 1.568000 | 1.588000 |  
GRB241030A   |   1263718    | -1.142390e-01 | -8.833740e-01 | 8.236770e-01 | 1.310410e+02 | 8.397760e+01 | 9.999730e+02 | 3.266420e-01 | 1.480740e-01 | 8.927680e-01 | 11.22 | 7 | 1.76625 | 1.29e-01 | 50.0000 | 0.02 | 147.988000 | 148.008000 |  
GRB241026A   |   1262764    | 2.432060e+00 | -5.706190e-01 | -0.000000e+00 | 4.269250e+01 | 3.049710e+01 | 5.594260e+01 | 1.361930e+01 | 0.000000e+00 | 1.803290e+06 | 8.36 | 7 | 1.8025 | 3.02e-01 | 50.0000 | 0.02 | 0.900000 | 0.920000 |  
GRB241025A   |   1262165    | -1.062870e+00 | -1.661710e+00 | -4.893850e-01 | 9.999350e+03 | 0.000000e+00 | 0.000000e+00 | 4.522610e-02 | 3.008270e-02 | 3.224580e-01 | 2.99 | 7 | 0.37375 | 8.86e-01 | 50.0000 | 0.02 | 22.852000 | 22.872000 |  
GRB241010A   |   1259578    | -4.710780e-01 | -1.805680e+00 | 1.666180e+00 | 5.248030e+01 | 3.701060e+01 | 0.000000e+00 | 4.048190e-01 | 0.000000e+00 | 8.192630e+00 | 5.03 | 7 | 0.91125 | 6.56e-01 | 50.0000 | 0.02 | 0.176000 | 0.196000 |  
GRB241006A   |   1258721    | -1.957050e+00 | N/A | N/A | 4.687680e+00 | N/A | N/A | 3.080510e-02 | N/A | N/A | 5.46 | 7 | 0.67 | 6.04e-01 | 50.0000 | 0.02 | 9.136000 | 9.156000 |  
GRB241002A   |   1257556    | -1.851440e-01 | -0.000000e+00 | 3.798720e+00 | 1.937660e+02 | 0.000000e+00 | 0.000000e+00 | 5.192500e-02 | 1.951120e-02 | 2.757370e-01 | 7.60 | 7 | 0.97875 | 3.70e-01 | 50.0000 | 0.02 | -0.136000 | -0.116000 |  
GRB240912A   |   1253910    | -7.404930e-01 | N/A | N/A | 1.674720e+02 | N/A | N/A | 2.452760e-01 | N/A | N/A | 17.15 | 7 | 2.245 | 1.65e-02 | 50.0000 | 0.02 | 76.416000 | 76.436000 |  
GRB240905E   |   1252695    | -1.497020e-01 | -7.654100e-01 | 1.113090e+00 | 9.999360e+03 | 0.000000e+00 | 0.000000e+00 | 7.537000e-02 | 3.526290e-02 | 6.298350e-01 | 6.48 | 7 | 0.80875 | 4.85e-01 | 50.0000 | 0.02 | 0.140000 | 0.160000 |  
GRB240904A   |   1252402    | -2.538630e-01 | N/A | N/A | 3.095040e+01 | N/A | N/A | 2.645260e-01 | N/A | N/A | 14.52 | 7 | 1.97625 | 4.26e-02 | 50.0000 | 0.02 | 69.796000 | 69.816000 |  
