GRB081215A GBM 185.48 -12.49  89.48 122.73 chi    -2.25 0.22 0.17  1.69 1.74E-05 0.17E-05 3.62E-05 0.36E-05
GRB081222A XRT 254.70 -79.02  88.13  80.82 chi    -2.48 1.35 0.78  1.26 2.58E-06 0.26E-06 1.37E-05 0.14E-05
GRB081224A XRT 115.66  41.76  56.80 228.87 chi    -2.92 0.34 0.28  1.11 1.83E-06 0.18E-06 4.80E-06 0.48E-06
GRB090102A XRT 189.85  34.66  94.05 259.30 chi    -1.42 0.27 0.23  0.90 1.02E-05 0.10E-05 9.39E-05 0.94E-05
GRB090112B GBM 286.62  88.20 109.47  67.46 chi    -1.30 0.11 0.13  1.80 7.72E-06 0.77E-06 3.12E-04 0.31E-04
GRB090131A GBM  98.48 -37.74  49.93  83.24 cstat  -3.32 1.97 0.98  3.06 2.08E-06 0.21E-06 9.32E-07 0.93E-07
GRB090225A GBM 115.88  -1.07  18.74  49.93 cstat  -2.00 1.09 0.37  0.83 2.88E-06 0.29E-06 5.53E-07 0.55E-07
GRB090228A LAT 236.40  -7.58 110.83 232.43 cstat  -3.02 0.33 0.27  0.45 2.58E-05 0.26E-05 8.24E-07 0.82E-07
GRB090305B GBM 139.08  34.55 125.46 334.06 cstat  -2.71 0.50 0.36  1.41 5.62E-06 0.56E-06 3.15E-06 0.32E-06
GRB090328A BAT 248.61 -26.38 108.48 181.90 chi    -1.87 0.25 0.18  1.39 3.94E-06 0.39E-06 9.10E-05 0.91E-05
GRB090328B GBM 154.65 -28.49 131.50  75.19 cstat  -2.06 0.22 0.18  0.94 1.54E-05 0.15E-05 9.86E-07 0.99E-07
GRB090401B XRT 217.48 -10.95  41.51 300.63 chi    -2.17 0.10 0.09  0.93 5.14E-06 0.51E-06 2.30E-05 0.23E-05
GRB090410A BAT  77.51 -33.76  54.09  80.03 chi    -3.49 2.45 1.09  0.93 3.92E-07 0.39E-07 1.94E-06 0.19E-06
GRB090426C GBM 212.63 -22.28 142.57 154.24 chi    -1.64 0.26 0.27  1.04 2.62E-06 0.26E-06 5.44E-06 0.54E-06
GRB090427A LAT 354.25  31.72  71.35 236.77 chi    -2.24 0.10 0.09  1.50 8.88E-06 0.89E-06 1.02E-05 0.10E-05
GRB090510A BAT  24.62 -55.07  61.41 145.08 chi    -1.99 0.65 0.28  2.06 6.20E-05 0.62E-05 7.69E-06 0.77E-06
GRB090528B GBM  75.84  -8.16  27.79  34.65 chi    -1.81 0.50 0.24  1.20 1.06E-06 0.11E-06 2.16E-05 0.22E-05
GRB090531B XRT 347.22   5.75  81.70 347.27 cstat  -2.06 0.53 0.34  1.03 2.70E-06 0.27E-06 1.72E-06 0.17E-06
GRB090610A GBM 173.51   1.85  83.73 203.02 cstat  -3.37 3.31 1.05  1.47 3.84E-06 0.38E-06 2.95E-06 0.30E-06
GRB090612A GBM 186.88 -10.17  91.57 234.79 chi    -1.49 1.30 1.00  2.36 4.30E-05 0.43E-05 5.36E-05 0.54E-05
GRB090617A GBM 187.50 -13.01  90.85 359.06 cstat  -3.20 1.35 0.70  0.30 2.00E-05 0.20E-05 8.84E-07 0.88E-07
GRB090618A XRT 110.38  24.33  38.43 359.83 chi    -2.80 0.29 0.25  1.29 9.50E-07 0.95E-07 4.23E-05 0.42E-05
GRB090704B GBM  61.89   0.70  51.11 359.63 chi    -2.73 0.30 0.25  1.25 1.06E-06 0.11E-06 4.67E-05 0.47E-05
GRB090709A BAT  91.81  20.13  48.22 359.63 chi    -2.95 0.60 0.42  0.87 5.18E-07 0.52E-07 1.51E-05 0.15E-05
GRB090717A GBM 271.76 -28.62 153.76 179.28 chi    -1.67 0.17 0.16  1.04 4.76E-06 0.48E-06 7.62E-06 0.76E-06
GRB090717B GBM  40.65  41.19  68.06  27.67 cstat  -2.67 1.24 0.61  0.88 1.53E-06 0.15E-06 8.58E-07 0.86E-07
GRB090719A GBM 319.17 -45.08 133.13 192.77 chi    -3.60 0.35 0.30  0.96 2.88E-06 0.29E-06 1.18E-05 0.12E-05
GRB090720B LAT 320.03  51.09 116.22 108.54 chi    -2.08 0.18 0.14  1.56 5.96E-06 0.60E-06 1.87E-05 0.19E-05
GRB090809B GBM 209.30  -6.69  89.96  87.26 chi    -1.72 0.40 0.22  1.51 1.14E-05 0.11E-05 7.16E-05 0.72E-05
GRB090814C GBM 103.38   2.32 154.07 201.26 cstat  -3.16 0.87 0.49  1.08 4.10E-06 0.41E-06 1.41E-06 0.14E-06
GRB090820A GBM 182.20   0.01 130.08 183.47 chi    -3.38 0.26 0.22  1.74 4.56E-06 0.46E-06 2.40E-05 0.24E-05
GRB090823A XRT 155.95  35.99 141.40 164.12 chi    -1.58 0.08 0.08  1.29 7.36E-06 0.74E-06 1.51E-05 0.15E-05
GRB090828A GBM 245.93   5.29  71.53  42.48 chi    -1.57 0.43 0.30  1.36 2.18E-06 0.22E-06 8.22E-06 0.82E-06
GRB090922A GBM 124.12  11.47 116.58 191.72 chi    -1.42 0.24 0.28  1.07 2.28E-06 0.23E-06 1.18E-05 0.12E-05
GRB091003A XRT  59.35  40.06  66.59 166.07 chi    -1.69 0.15 0.13  1.36 4.00E-06 0.40E-06 3.90E-05 0.39E-05
GRB091010A XRT  18.64 -23.49   8.76 331.93 cstat  -3.21 1.41 0.81  1.04 8.18E-07 0.82E-07 1.52E-06 0.15E-06
GRB091012A GBM 125.99  27.41 116.28 179.61 cstat  -3.31 0.82 0.50  1.28 4.62E-06 0.46E-06 2.29E-06 0.23E-06
GRB091109B XRT 265.93 -16.25 143.82 177.30 cstat  -2.32 0.24 0.18  1.12 1.79E-05 0.18E-05 8.58E-07 0.86E-07
GRB091120A LAT 340.20  31.09  82.00 109.76 chi    -1.65 0.30 0.23  1.18 3.96E-06 0.40E-06 7.10E-06 0.71E-06
GRB100119A BAT 345.11 -31.07 102.81  30.15 chi    -2.36 0.62 0.46  1.58 2.20E-06 0.22E-06 2.93E-05 0.29E-05
GRB100212B GBM 192.19  39.46  73.55 252.13 chi    -1.19 0.26 0.33  1.19 2.76E-06 0.28E-06 1.16E-05 0.12E-05
GRB100223A GBM 210.38   3.14  41.58 260.41 cstat  -2.47 0.35 0.27  0.77 6.30E-06 0.63E-06 2.77E-07 0.28E-07
GRB100326A GBM 251.18   9.07  36.89 312.73 cstat  -2.22 0.98 0.52  0.77 2.52E-06 0.25E-06 8.67E-07 0.87E-07
GRB100423B LAT 215.43  17.58 142.75 302.60 chi    -1.51 0.05 0.05  1.43 7.76E-06 0.78E-06 1.27E-04 0.13E-04
GRB100511A LAT 220.01   3.58 114.03 148.82 chi    -1.79 0.19 0.15  1.33 6.12E-06 0.61E-06 4.39E-05 0.44E-05
GRB100528A XRT  70.82  -9.20  12.52  20.83 chi    -2.15 0.32 0.21  1.04 1.34E-06 0.13E-06 9.97E-06 1.00E-06
GRB100612A GBM 179.71 -26.08  71.05  66.50 cstat  -2.82 0.95 0.51  1.49 2.94E-06 0.29E-06 6.58E-07 0.66E-07
GRB100612B GBM  81.09 -57.76 152.00 269.71 pgstat -2.50 0.74 0.45  1.29 1.11E-06 0.11E-06 2.03E-06 0.20E-06
GRB100713B GBM 191.48 -11.85 119.13 254.77 chi    -2.24 0.08 0.08  0.99 1.56E-05 0.16E-05 1.25E-05 0.12E-05
GRB100717A GBM  34.26  -4.04  76.13 261.80 cstat  -2.30 1.08 0.44  2.06 3.82E-06 0.38E-06 2.50E-06 0.25E-06
GRB100724B BAT 138.66  30.32  63.96  60.61 chi    -2.10 0.06 0.06  1.67 4.98E-06 0.50E-06 1.81E-04 0.18E-04
GRB100725A XRT 275.49  30.52  91.46 249.00 chi    -2.17 0.66 0.43  1.28 2.00E-06 0.20E-06 1.59E-05 0.16E-05
GRB100811A GBM  88.39 -39.66  47.34 322.93 cstat  -2.36 0.21 0.17  0.80 9.62E-06 0.96E-06 2.00E-06 0.20E-06
GRB100827A GBM 122.47  45.23  25.90  26.81 cstat  -3.09 1.26 0.67  0.43 4.42E-06 0.44E-06 2.83E-07 0.28E-07
GRB100906A XRT 131.84  -6.14  21.02 339.70 chi    -2.15 0.62 0.29  0.95 1.05E-06 0.11E-06 1.32E-05 0.13E-05
