GRB090112B 2009 01 12 17 30 05.72 C1 N N Y Y 239       32.768 0.512         80.896 0.512
GRB090131A 2009 01 31 02 09 44.14 C1 Y Y Y Y 283        0.288 0.016          0.896 0.016
GRB090201A 2009 02 01 17 47 40.59 C1 Y Y Y Y 323       20.480 0.512         72.704 0.512
GRB090207A 2009 02 07 10 47 28.47 C1 N N N Y 270        0.080 0.004          0.472 0.004
GRB090225A 2009 02 25 00 12 23.64 C1 N N Y Y 242        0.112 0.080          0.384 0.080
GRB090228A 2009 02 28 04 53 20.90 C1 N Y Y Y 250        0.040 0.002          0.064 0.002
GRB090305B 2009 03 05 01 14 36.00 C1 Y Y Y Y 302        0.384 0.016          1.120 0.016
GRB090312A 2009 03 12 19 00 32.67 C1 N N Y Y 254        9.216 0.256         22.528 0.256
GRB090328A 2009 03 28 09 36 50.89 C1 Y Y Y Y 257       13.312 0.512         46.080 0.512
GRB090328B 2009 03 28 17 07 04.90 C1 N N Y Y 237        0.048 0.004          0.128 0.004
GRB090329A 2009 03 29 21 23 22.62 C1 N N Y Y 265        1.472 0.032          4.160 0.032
GRB090401B 2009 04 01 08 35 13.40 C1 Y Y Y Y 252        1.792 0.640          8.960 0.640
GRB090410A 2009 04 10 16 57 53.37 C1 N N Y Y 247        5.120 0.640          9.856 0.640
GRB090424A 2009 04 24 14 12 09.44 C1 Y Y Y Y 241        2.816 0.032          4.160 0.032
GRB090426C 2009 04 26 16 33 33.13 C1 N N Y Y 306        2.368 0.032          4.160 0.032
GRB090427A 2009 04 27 23 26 26.51 C1 Y Y Y Y 251        1.024 0.640          2.304 0.640
GRB090510A 2009 05 10 00 23 00.44 C1 Y Y Y Y 269        0.112 0.004          0.248 0.004
GRB090522A 2009 05 22 20 54 42.14 C1 N N N Y 187        0.008 0.001          0.012 0.001
GRB090523A 2009 05 23 09 27 56.30 C1 N Y Y Y 208        0.256 0.016          1.088 0.016
GRB090528B 2009 05 28 12 22 32.77 C1 Y Y Y Y 243       19.456 0.512         40.960 0.512
GRB090529A 2009 05 29 18 41 56.60 C1 N N Y Y 266        6.144 0.256         22.016 0.256
GRB090531B 2009 05 31 18 35 56.43 C1 Y Y Y Y 251        0.448 0.032          1.280 0.032
GRB090610A 2009 06 10 15 33 18.96 C1 N N Y Y 254        0.608 0.016          1.536 0.016
GRB090612A 2009 06 12 14 50 51.10 C1 Y Y Y Y 274        0.832 0.032          2.496 0.032
GRB090617A 2009 06 17 04 59 58.56 C1 Y N Y Y 166        0.028 0.002          0.088 0.002
GRB090618A 2009 06 18 08 29 22.62 C1 Y Y Y Y 251       16.384 0.512         89.088 0.512
GRB090620A 2009 06 20 09 36 26.59 C1 Y Y Y Y 244        3.136 0.032          6.656 0.032
GRB090704B 2009 07 04 18 47 04.95 C1 N N Y Y 232       27.648 0.512         88.064 0.512
GRB090709A 2009 07 09 07 38 33.46 C1 Y Y Y Y 256       21.504 0.512         58.368 0.512
GRB090717A 2009 07 17 00 49 29.69 C1 Y N Y Y 264        1.856 0.032          3.200 0.032
GRB090717B 2009 07 17 02 40 31.61 C1 N N Y Y 284        0.416 0.016          1.120 0.016
GRB090719A 2009 07 19 01 31 26.41 C1 Y Y Y Y 231        4.480 0.640          8.192 0.640
GRB090720B 2009 07 20 17 02 56.90 C1 N N Y Y 245        5.888 0.640          6.272 0.640
GRB090802A 2009 08 02 05 39 03.05 C1 N N N Y 218        0.512 0.080          0.736 0.080
GRB090809B 2009 08 09 23 28 08.50 C1 Y Y Y Y 212        4.480 0.640         12.544 0.640
GRB090814C 2009 08 14 08 49 41.25 C1 N N Y Y 243        0.160 0.080          0.688 0.080
GRB090820A 2009 08 20 00 38 46.66 C1 Y Y Y Y 218        3.712 0.640         10.496 0.640
GRB090823A 2009 08 23 16 11 13.15 C1 N N Y Y 279        1.536 0.032          4.096 0.032
GRB090825A 2009 08 25 00 09 34.38 C1 N N N Y 266        0.018 0.001          0.021 0.001
GRB090828A 2009 08 28 02 23 40.97 C1 Y Y Y Y 230        3.200 0.640          7.552 0.640
GRB090831A 2009 08 31 13 59 24.86 C1 N N Y Y 298        0.104 0.004          0.256 0.004
GRB090908A 2009 09 08 14 31 27.10 C1 N N Y Y 264        0.704 0.032          2.688 0.032
GRB090922A 2009 09 22 12 56 41.65 C1 N N Y Y 239        6.144 0.640         10.368 0.640
GRB091003A 2009 10 03 04 35 45.74 C1 Y Y Y Y 288       16.384 0.256         19.456 0.256
GRB091010A 2009 10 10 02 43 10.92 C1 Y Y Y Y 240        1.984 0.032          3.712 0.032
GRB091012A 2009 10 12 18 47 02.73 C1 N Y Y Y 251        0.416 0.016          0.992 0.016
GRB091109B 2009 11 09 21 49 03.17 C1 N N Y Y 275        0.016 0.004          0.096 0.004
GRB091120A 2009 11 20 04 34 35.21 C1 Y Y Y Y 250        1.664 0.032          3.584 0.032
GRB100102A 2010 01 02 08 12 39.12 C2 Y Y Y Y 244       21.504 0.512         33.792 0.512
GRB100117b 2010 01 17 17 48 20.09 C2 N N N Y 259       17.408 0.256         18.944 0.256
GRB100119A 2010 01 19 18 25 15.97 C2 Y Y Y Y 259        9.216 0.256         26.624 0.256
GRB100212B 2010 02 12 13 11 45.78 C2 N Y Y Y 230        6.272 0.032          8.384 0.032
GRB100223A 2010 02 23 02 38 09.38 C2 Y Y Y Y 281        0.040 0.004          0.088 0.004
GRB100310A 2010 03 10 14 16 45.91 C2 N N Y Y 252        0.192 0.016          0.448 0.016
GRB100320A 2010 03 20 12 58 16.80 C2 Y Y Y F 235 {>=}   8.704 1.000 * {>=}  18.432 1.000 *
GRB100326A 2010 03 26 07 03 05.61 C2 Y N Y Y 351        0.176 0.080          0.688 0.080
GRB100423B 2010 04 23 05 51 28.68 C2 N N Y Y 219       10.752 0.256         32.768 0.256
GRB100425A 2010 04 25 09 58 37.08 C2 n N Y Y 232        0.320 0.032          0.704 0.032
GRB100511A 2010 05 11 00 50 13.00 C2 Y Y Y Y 247        6.528 0.640         14.336 0.640
GRB100514b 2010 05 14 01 09 49.59 C2 Y Y Y Y 242       15.872 0.256         20.992 0.256
GRB100516A 2010 05 16 12 37 37.39 C2 Y Y Y I 240 {>=}  12.288 3.000 * {>=}  18.432 3.000 *
GRB100519A 2010 05 19 04 53 15.94 C2 n N Y I 299 {>=}  16.384 3.000 * {>=}  32.768 3.000 *
GRB100528A 2010 05 28 01 48 02.69 C2 Y Y Y Y 233        5.632 0.256         14.848 0.256
GRB100606A 2010 06 06 19 12 41.98 C2 Y Y Y F 272 {>=}   9.216 1.000 * {>=}  17.920 1.000 *
GRB100612A 2010 06 12 13 04 21.65 C2 Y Y Y Y 303        0.224 0.016          0.448 0.016
GRB100612B 2010 06 12 17 26 07.51 C2 N N Y Y 240        1.600 0.032          3.648 0.032
GRB100621A 2010 06 21 22 59 33.65 C2 Y Y Y I 292 {>=}  18.944 1.000 * {>=}  26.624 1.000 *
GRB100625A 2010 06 25 18 32 28.38 C2 Y N Y Y 268        0.144 0.080          0.432 0.080
GRB100629A 2010 06 29 19 13 58.32 C2 N N Y I 231 {>=}  52.224 3.000 * {>=} 113.664 3.000 *
   100707  2010 07 07 14 21 06.60 C2 N N N Y 250        0.048 0.004          0.224 0.004
GRB100713B 2010 07 13 23 31 33.91 C2 N N Y Y 260        0.704 0.032          1.600 0.032
GRB100717A 2010 07 17 08 55 09.53 C2 Y N Y Y 222        0.704 0.016          1.312 0.016
GRB100719D 2010 07 19 23 44 05.18 C2 Y Y Y I 247 {>=}   1.408 0.500 * {>=}   3.264 0.500 *
GRB100722A 2010 07 22 02 18 07.57 C2 N N Y Y 218        0.352 0.080          0.704 0.080
GRB100724B 2010 07 24 00 42 00.81 C2 n Y Y Y 261       49.152 0.512         72.704 0.512
GRB100725A 2010 07 25 07 12 51.97 C2 N N Y Y 243        9.216 0.256         15.872 0.256
GRB100811A 2010 08 11 02 35 49.36 C2 Y Y Y Y 243        0.160 0.080          0.416 0.080
GRB100826A 2010 08 26 22 58 19.27 C2 n Y Y I 263 {>=}  12.288 3.000 * {>=}  36.864 3.000 *
GRB100827A 2010 08 27 10 55 49.74 C2 N N N Y 270        0.052 0.002          0.128 0.002
GRB100906A 2010 09 06 13 49 26.24 C2 n Y Y Y 230       11.776 0.256         25.088 0.256
GRB100915B 2010 09 15 05 49 35.97 C2 N N Y Y 278       18.432 0.512         40.960 0.512
GRB100918A 2010 09 18 20 42 29.72 C2 Y Y Y I 273 {>=}  17.408 3.000 * {>=}  75.776 3.000 *
GRB101014A 2010 10 14 04 11 52.84 C2 Y Y Y I 256 {>=} 102.400 3.000 * {>=} 212.992 3.000 *
GRB101021A 2010 10 21 00 13 03.60 C2 n n Y Y 262       10.752 0.256         19.456 0.256
GRB101023A 2010 10 23 22 51 06.14 C2 Y Y Y Y 254        9.216 0.256         18.432 0.256
GRB101113A 2010 11 13 11 35 35.90 C2 N N Y I 244 {>=}   2.048 3.000 * {>=}  11.264 3.000 *
GRB101123A 2010 11 23 22 52 16.94 C2 Y Y Y Y 258       71.680 0.512        111.616 0.512
GRB101202A 2010 12 02 03 41 54.05 C2 N N Y Y 278        0.160 0.080          0.368 0.080
GRB101204B 2010 12 04 08 14 18.58 C2 N Y Y Y 239        0.016 0.002          0.088 0.002
GRB101217A 2010 12 17 16 23 53.75 C2 Y Y Y Y 261        0.064 0.080          0.160 0.080
GRB101219A 2010 12 19 02 31 29.74 C2 Y Y Y Y 277        0.160 0.016          0.576 0.016
GRB101227C 2010 12 27 12 51 46.02 C2 N N Y Y 272        0.896 0.032          1.792 0.032
GRB110104A 2011 01 04 08 24 43.88 C2 Y Y Y Y 250        5.632 0.640          8.832 0.640
GRB110124A 2011 01 24 11 36 47.01 C2 Y Y Y Y 231       16.384 0.512        105.472 0.512
GRB110201B 2011 02 01 03 25 07.43 C2 Y N Y Y 258        2.688 0.032          5.696 0.032
   110201  2011 02 01 09 05 36.13 C2 N N Y Y 302        1.856 0.032          5.568 0.032
GRB110201A 2011 02 01 09 35 08.61 C2 N Y Y Y 245        1.792 0.640          3.840 0.640
GRB110207A 2011 02 07 11 17 20.12 C2 n N Y Y 266        3.072 0.032          4.608 0.032
GRB110210A 2011 02 10 08 11 07.28 C2 N N N Y 248        0.608 0.016          0.704 0.016
GRB110212B 2011 02 12 13 12 33.45 C2 Y N Y Y 260        0.008 0.002          0.016 0.002
GRB110221A 2011 02 21 05 08 13.67 C2 Y Y Y Y 220        0.040 0.004          0.088 0.004
GRB110301A 2011 03 01 05 08 43.09 C2 n Y Y Y 250        2.112 0.032          3.328 0.032
GRB110318A 2011 03 18 12 44 01.60 C2 n Y Y Y 295        0.704 0.032          1.536 0.032
GRB110327A 2011 03 27 22 33 04.04 C2 Y N Y I 217 {>=}   9.216 1.000 * {>=}  17.920 1.000 *
GRB110328A 2011 03 28 01 38 37.18 C2 Y Y Y Y 247        1.856 0.032          5.440 0.032
GRB110401A 2011 04 01 22 04 19.57 C2 N N Y Y 307        0.448 0.016          0.736 0.016
GRB110402A 2011 04 02 00 13 00.72 C2 N N Y Y 249        2.112 0.032          2.432 0.032
GRB110423A 2011 04 23 09 06 54.10 C2 Y Y Y Y 251        1.408 0.032          6.784 0.032
GRB110424A 2011 04 24 18 11 36.62 C2 N N N Y 250        0.008 0.002          0.016 0.002
GRB110521B 2011 05 21 11 28 58.88 C2 N N Y Y 241        2.240 0.032          3.328 0.032
GRB110522C 2011 05 22 15 11 56.50 C2 N Y Y Y 236        1.856 0.032          3.904 0.032
GRB110526A 2011 05 26 17 09 01.83 C2 n N Y Y 262        0.208 0.080          0.432 0.080
GRB110527A 2011 05 27 09 51 58.47 C2 Y N Y Y 279        4.864 0.640          8.448 0.640
GRB110529A 2011 05 29 00 48 42.88 C2 n Y Y Y 254        0.160 0.016          0.576 0.016
GRB110601A 2011 06 01 16 20 13.30 C2 N N Y Y 236       10.240 0.256         23.040 0.256
GRB110624A 2011 06 24 12 58 40.02 C2 n N Y Y 196        0.160 0.080          0.432 0.080
GRB110625A 2011 06 25 21 08 22.15 C2 Y Y Y I 222 {>=}  13.312 1.000 * {>=}  22.528 1.000 *
GRB110704A 2011 07 04 01 08 49.03 C2 Y Y Y Y 264       10.752 0.256         28.160 0.256
GRB110705A 2011 07 05 03 37 11.89 C2 Y Y Y Y 256        0.128 0.080          0.176 0.080
GRB110708B 2011 07 08 13 59 47.10 C2 N N Y Y 252       24.576 0.512         47.104 0.512
GRB110715A 2011 07 15 13 13 53.02 C2 Y Y Y Y 235        0.512 0.016          1.376 0.016
GRB110720A 2011 07 20 04 14 27.93 C2 N N Y Y 245        7.168 0.256         17.408 0.256
GRB110721A 2011 07 21 04 47 43.60 C2 Y Y Y Y 280        2.432 0.640          8.320 0.640
GRB110722A 2011 07 22 16 39 21.39 C2 n N Y Y 241        7.168 0.256         18.432 0.256
GRB110723A 2011 07 23 18 25 41.29 C2 N N N Y 230        0.072 0.004          0.104 0.004
GRB110729A 2011 07 29 03 25 17.74 C2 N N Y I 257 {>=}   1.024 1.000 * {>=}   2.560 1.000 *
GRB110802A 2011 08 02 15 19 17.56 C2 n Y Y Y 287        0.320 0.016          0.832 0.016
GRB110803A 2011 08 03 17 12 30.52 C2 Y N Y Y 269        3.584 0.640         11.136 0.640
GRB110810A 2011 08 10 21 17 09.44 C2 Y Y Y Y 251        0.112 0.080          0.416 0.080
GRB110813A 2011 08 13 08 45 05.72 C2 n N Y Y 239        6.400 0.640         12.032 0.640
GRB110814A 2011 08 14 06 29 27.65 C2 N N Y Y 270        0.128 0.080          0.384 0.080
GRB110815A 2011 08 15 09 40 57.72 C2 Y Y Y Y 246        1.152 0.032          2.304 0.032
GRB110820B 2011 08 20 21 27 52.67 C2 Y Y Y Y 281      128.000 0.512        155.648 0.512
GRB110823A 2011 08 23 17 11 43.22 C2 N Y Y Y 262        2.176 0.032          5.248 0.032
GRB110824A 2011 08 24 00 13 09.97 C2 n Y Y Y 250        4.928 0.032          6.784 0.032
GRB110825A 2011 08 25 02 27 03.46 C2 Y Y Y Y 176        2.560 0.640         13.056 0.640
GRB110828A 2011 08 28 05 09 20.09 C2 Y Y Y I 285 {>=}   0.192 0.250 * {>=}   0.608 0.250 *
GRB110903A 2011 09 03 02 39 41.01 C2 n Y Y Y 231        3.200 0.032          6.784 0.032
GRB110913A 2011 09 13 01 36 06.15 C2 N Y Y Y 260        0.224 0.016          0.544 0.016
GRB110923A 2011 09 23 23 07 58.92 C2 N N Y I 261 {>=}  28.672 3.000 * {>=}  50.176 3.000 *
GRB110929a 2011 09 29 04 57 33.49 C2 Y Y Y Y 214        0.768 0.032          2.240 0.032
GRB110929b 2011 09 29 06 44 00.31 C2 Y Y Y Y 246        7.680 0.256         17.920 0.256
GRB111003A 2011 10 03 11 09 59.66 C2 Y Y Y Y 232        3.072 0.640          6.912 0.640
GRB111016B 2011 10 16 22 41 41.80 C2 n Y Y I 245 {>=}  72.704 3.000 * {>=} 106.496 3.000 *
GRB111017A 2011 10 17 15 45 24.82 C2 n Y Y Y 228        2.304 0.640         12.544 0.640
GRB111022A 2011 10 22 21 20 19.52 C2 n Y Y I 260 {>=}   8.192 3.000 * {>=}  23.552 3.000 *
   111030  2011 10 30 23 07 01.76 C2 N N N Y 241        2.112 0.032          3.072 0.032
GRB111103C 2011 11 03 22 45 05.62 C2 N N Y Y 243        0.128 0.080          0.368 0.080
GRB111109A 2011 11 09 20 10 08.59 C2 N N Y Y 250        0.064 0.080          0.176 0.080
GRB111113A 2011 11 13 05 10 18.92 C2 n Y Y Y 255        0.048 0.080          0.096 0.080
GRB111127A 2011 11 27 13 43 01.96 C2 N Y Y Y 220        0.640 0.032          2.560 0.032
GRB111211A 2011 12 11 22 17 17.34 C2 Y Y Y I 221 {>=}   2.560 1.000 * {>=}   5.632 1.000 *
   111212  2011 12 12 09 59 22.43 C2 N Y Y Y 239        0.176 0.080          0.352 0.080
GRB111221A 2011 12 21 17 43 30.76 C2 Y Y Y Y 226        0.192 0.032          0.384 0.032
GRB111222A 2011 12 22 14 51 55.00 C2 N Y Y Y 236        0.192 0.016          0.256 0.016
GRB120110A 2012 01 10 03 30 19.53 C2 n Y Y Y 204        0.224 0.080          0.496 0.080
   120111  2012 01 11 04 23 25.95 C2 N N Y Y 222        0.192 0.080          0.624 0.080
GRB120119B 2012 01 19 05 29 48.98 C2 N N Y Y 234        7.168 0.640         15.232 0.640
GRB120129A 2012 01 29 13 55 46.08 C2 Y Y Y Y 225        1.408 0.640          2.944 0.640
GRB120203A 2012 02 03 23 43 41.57 C2 N N Y Y 237        0.160 0.016          0.672 0.016
GRB120206b 2012 02 06 19 15 00.28 C2 n N Y I 218 {>=}   3.072 0.500 * {>=}   4.800 0.500 *
GRB120206A 2012 02 06 22 46 21.20 C2 N N Y Y 214        0.704 0.016          1.728 0.016
GRB120226B 2012 02 26 10 44 17.03 C2 Y Y Y Y 210        5.248 0.640         10.752 0.640
GRB120226A 2012 02 26 20 54 14.44 C2 N N Y I 257 {>=}  11.264 3.000 * {>=}  21.504 3.000 *
GRB120305A 2012 03 05 19 37 30.08 C2 Y Y Y Y 322        0.008 0.002          0.016 0.002
GRB120308B 2012 03 08 14 06 05.48 C2 n Y Y Y 210        2.880 0.032          6.912 0.032
GRB120324A 2012 03 24 05 59 11.01 C2 Y N Y I 240 {>=}  14.336 3.000 * {>=}  31.744 3.000 *
