recno,GRB,z,Tf,e_Tf,Vf,s_Vf,Vf05,Vf95,logLiso,e_logLiso,Det,r_logLiso,Npeaks,_RA,_DE
128,"140206A",2.73,26.16,0.53,0.468,0.009,-0.02,0.009,53.223,0.013,"BAT",5,11,145.32042,66.76186
129,"140213A",1.2076,11.9,0.46,0.166,0.005,-0.005,0.012,52.65,0.039,"BAT",3,4,105.15492,-73.13725
130,"140304A",5.283,9.26,0.58,0.302,0.016,-0.032,0.02,53.183,0.132,"BAT",1,5,30.64125,33.47442
131,"140419A",3.956,51.94,1.17,0.175,0.005,-0.011,0.005,53.579,0.057,"BAT",3,9,126.98983,46.24036
132,"140423A",3.26,79.87,2.75,0.114,0.011,-0.02,0.018,52.802,0.068,"BAT",1,7,197.27583,49.83842
133,"140508A",1.027,27.39,0.64,0.714,0.004,-0.007,0.005,53.249,0.02,"GBM",3,9,255.46646,46.78042
134,"140512A",0.725,61.32,1.51,0.315,0.006,-0.024,0.004,51.94,0.065,"BAT",3,15,289.37004,-15.09431
135,"140606B",0.384,7.11,0.58,0.213,0.022,-0.05,0.022,51.155,0.058,"GBM",3,2,328.125,32.01458
136,"140620A",2.04,17.96,2.25,0.096,0.018,-0.035,0.022,52.293,0.037,"GBM",5,1,281.87083,49.73083
137,"140623A",1.92,37.33,1.71,0.248,0.088,-0.177,0.11,51.929,0.084,"GBM",5,4,225.47254,81.19139
138,"140703A",3.14,38.73,2.7,0.19,0.024,-0.037,0.042,52.869,0.089,"GBM",1,2,12.99579,45.1015
139,"140801A",1.32,5.04,0.16,0.272,0.005,-0.01,0.006,52.655,0.042,"GBM",3,9,44.06875,30.938
140,"140808A",3.29,3.08,0.15,0.102,0.01,-0.013,0.018,53.184,0.054,"GBM",3,2,221.22196,49.21464
141,"140907A",1.21,23.79,1.13,0.048,0.009,-0.013,0.015,51.664,0.058,"BAT",1,2,48.14575,46.60478
142,"141004A",0.573,1.55,0.13,0.286,0.015,-0.02,0.031,51.261,0.051,"BAT",1,1,76.73379,12.81947
143,"141028A",2.33,18.48,0.4,0.153,0.007,-0.014,0.008,53.382,0.011,"GBM",5,3,322.60192,-0.23211
144,"141109A",2.993,71.15,2.94,0.28,0.013,-0.022,0.022,52.889,0.056,"BAT",1,4,144.53083,-0.60794
145,"141220A",1.3195,5.09,0.42,0.228,0.02,-0.044,0.022,52.457,0.057,"BAT",3,2,195.06542,32.14644
146,"141225A",0.915,22.96,1.42,0.106,0.048,-0.092,0.068,51.584,0.135,"GBM",1,1,138.77821,33.79192
147,"150206A",2.087,48.76,2.28,0.356,0.015,-0.032,0.016,53.378,0.047,"BAT",3,6,10.07321,-63.18222
148,"150301B",1.5169,7.16,0.5,0.04,0.009,-0.014,0.015,52.347,0.077,"BAT",1,1,89.16683,-57.96956
