recno,GRB,z,Tf,e_Tf,Vf,s_Vf,Vf05,Vf95,logLiso,e_logLiso,Det,r_logLiso,Npeaks,_RA,_DE
1,"050219A",0.2115,7.56,0.36,0.028,0.014,-0.025,0.023,49.991,0.088,"BAT",1,1,166.41246,-40.68417
2,"050315 ",1.949,18.67,1.1,0.072,0.021,-0.034,0.034,51.937,0.165,"BAT",2,3,306.47542,-42.60061
3,"050318 ",1.44,3.49,0.22,0.123,0.013,-0.022,0.021,51.839,0.087,"BAT",2,3,49.7125,-46.39545
4,"050401 ",2.9,5.08,0.72,0.177,0.016,-0.029,0.023,53.084,0.091,"BAT",2,4,247.87017,2.18736
5,"050820A",2.6147,9.94,1.1,0.045,0.016,-0.027,0.025,53.136,0.057,"BAT",3,4,337.40879,19.56031
6,"050922C",2.199,1.16,0.13,0.021,0.005,-0.008,0.009,53.261,0.154,"BAT",3,2,317.3875,-8.75836
7,"060210 ",3.91,36.52,1.99,0.245,0.036,-0.065,0.051,52.897,0.094,"BAT",2,7,57.73904,27.02622
8,"060306 ",1.559,3.58,0.22,0.156,0.017,-0.031,0.024,52.265,0.041,"BAT",1,4,41.09512,-2.14861
9,"060418 ",1.489,13.26,0.28,0.173,0.008,-0.017,0.009,52.261,0.058,"BAT",1,8,236.4275,-3.63889
10,"060510B",4.9,89.28,11.16,0.132,0.031,-0.056,0.046,52.364,0.086,"BAT",2,4,239.12167,78.57
11,"060607A",3.082,14.9,3.73,0.089,0.018,-0.034,0.026,52.871,0.095,"BAT",1,2,329.71,-22.49631
12,"060708 ",1.92,1.46,0.49,0.026,0.015,-0.02,0.027,51.996,0.069,"BAT",1,1,7.80771,-33.759
13,"060714 ",2.71,21.57,1.27,0.184,0.034,-0.062,0.048,52.19,0.05,"BAT",2,5,227.86021,-6.56619
14,"060814 ",1.9229,23.79,0.61,0.112,0.003,-0.007,0.004,52.854,0.05,"BAT",1,4,221.3395,20.58661
15,"060908 ",1.8836,5.32,0.48,0.103,0.01,-0.018,0.013,52.324,0.207,"BAT",2,4,31.8265,0.342
16,"060927 ",5.467,3.53,0.39,0.149,0.013,-0.021,0.023,53.679,0.096,"BAT",1,4,329.54971,5.36398
17,"061007 ",1.262,16.69,0.16,0.118,0.001,-0.002,0.002,53.18,0.062,"BAT",2,23,46.33129,-50.50069
18,"061021 ",0.3463,3.7,0.31,0.081,0.009,-0.014,0.016,51.368,0.078,"BAT",3,1,145.1505,-21.9515
19,"061121 ",1.314,5.67,0.05,0.103,0.002,-0.005,0.003,53.353,0.027,"BAT",3,10,147.22737,-13.19519
20,"061126 ",1.1588,6.12,0.2,0.168,0.008,-0.015,0.011,52.887,0.1,"BAT",4,4,86.60192,64.21069
21,"061222A",2.088,8.82,0.14,0.152,0.004,-0.007,0.007,53.183,0.034,"BAT",3,10,358.26425,46.53294
22,"070318 ",0.836,9.57,0.74,0.055,0.014,-0.024,0.021,51.722,0.088,"BAT",1,1,48.48679,-42.94619
23,"070328 ",2.0627,13.25,0.25,0.057,0.004,-0.006,0.006,53.331,0.069,"BAT",3,5,65.11533,-34.06683
24,"070411 ",2.954,27.59,1.31,0.103,0.033,-0.063,0.045,52.406,0.132,"BAT",1,3,107.33304,1.06461
25,"070419B",1.9586,44.77,1.6,0.088,0.009,-0.016,0.014,52.354,0.083,"BAT",1,3,315.70758,-31.26369
26,"070521 ",2.0865,8.82,0.25,0.238,0.006,-0.01,0.011,51.504,0.103,"BAT",2,14,242.66083,30.25631
27,"071003 ",1.60435,10.6,0.34,0.136,0.012,-0.02,0.02,53.103,0.073,"BAT",2,6,301.85208,10.94689
28,"071010B",0.947,4.18,0.38,0.013,0.003,-0.003,0.007,51.765,0.019,"BAT",2,2,150.53833,45.73117
29,"071020 ",2.145,1.33,0.06,0.077,0.004,-0.007,0.007,53.02,0.215,"BAT",2,2,119.66521,32.86078
30,"071117 ",1.331,1.06,0.11,0.017,0.005,-0.008,0.009,52.761,0.161,"BAT",2,1,335.04333,-63.4435
31,"080207 ",2.0858,79.38,7.94,0.059,0.024,-0.042,0.037,51.864,0.103,"BAT",1,3,207.51258,7.50222
32,"080319B",0.937,18.43,0.19,0.057,0.001,-0.001,0.001,53.073,0.019,"BAT",3,43,217.921,36.30256
33,"080319C",1.95,4.15,0.24,0.067,0.01,-0.022,0.012,53.037,0.06,"BAT",3,2,258.98117,55.39214
34,"080411 ",1.03,5.83,0.05,0.211,0.003,-0.002,0.006,52.914,0.055,"BAT",2,10,37.97842,-71.30208
35,"080413A",2.433,5.09,0.27,0.124,0.008,-0.017,0.01,52.671,0.14,"BAT",2,4,287.29887,-27.67767
36,"080603B",2.6892,6.02,0.15,0.218,0.008,-0.017,0.01,52.512,0.025,"BAT",2,7,176.53108,68.06069
37,"080605 ",1.6398,4.71,0.12,0.105,0.003,-0.005,0.005,53.292,0.092,"BAT",2,7,262.12517,4.01581
38,"080607 ",3.036,6.96,0.15,0.102,0.005,-0.009,0.008,54.121,0.089,"BAT",2,15,194.94642,15.91933
39,"080721 ",2.602,4.35,0.21,0.12,0.016,-0.03,0.022,53.874,0.068,"BAT",2,3,224.48233,-11.72358
